Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,95.516400000000004,83.687700000000007,84.015000000000001,94.289100000000005,709.78179999999998,590.4973,917.77350000000001,1783.0252,1633.7601,1711.2628,3086.5837999999999,3722.5272,13595.590899999999,16286.694100000001,16744.215,15338.069600000001,15473.0939,14998.2916,13255.3938,13560.1209,14108.5203,#N/A,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,3164.8,3269.1001000000001,3318.2,3497.4,3140.9,3467.6,3467.6,3467.6,5223,4119.2,11787,11751,12006,11492,11492,11492,11492,11492,11492,11492,11492,11492,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.021000000000001,13.361000000000001,16.838000000000001,14.291,15.818,70,64.099999999999994,75.8,88.9,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,0.28599999999999998,0.35299999999999998,1.0494000000000001,2.0918999999999999,3.4618000000000002,4.8361999999999998,5.0519999999999996,5.5030000000000001,5.8159999999999998,5.6840000000000002,5.6520000000000001,8.3480000000000008,9.4030000000000005,17.388999999999999,16.164999999999999,19.766999999999999,22.1,17.148,101.577,89.369,82.4,90.4,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,3929.2739000000001,3787.672,3865.5032000000001,4262.0433000000003,3807.4879000000001,3995.3314999999998,4043.576,4832.6938,4634.4440000000004,5740.3995999999997,6354.6395000000002,6331.2060000000001,6951.1765999999998,6152.0468000000001,7268.6502,7391.3564999999999,8888.1654999999992,10046.0339,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,320,350,407,358,351,216,212,205,191,183,200,211,208,576,504,712,604,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,24.925000000000001,27.335999999999999,29.523,24.623999999999999,30.832999999999998,40.564999999999998,43.219000000000001,46.793999999999997,49.597000000000001,69.356999999999999,59.610999999999997,65.897999999999996,75.775999999999996,80.808999999999997,86.878,120.107,128.4,166.5,438.8,428.5,439.2,447.2,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,1155.3719000000001,1352.527,1469.5930000000001,5256.0709999999999,5373.8429999999998,5841.9049999999997,6496,7217,10207,11278,11733,12161,12862,8399,7909,4572,4059,3695,4521,3536,3541,3169,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2059.6350000000002,12389.725,11616.758400000001,10905.1836,11084.663200000001,13687.063200000001,14049.3469,11922.102199999999,13003.4722,12070.7752,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,260.84129999999999,133.619,92.387,99.569000000000003,100.12260000000001,93.532499999999999,112.23009999999999,112.45820000000001,171.2011,144.66200000000001,186.5266,205.9785,186.9408,209.0127,156.48580000000001,143.13229999999999,155.8683,194.85380000000001,421.08269999999999,412.52769999999998,441.1574,428.79739999999998,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,0,0,0.14319999999999999,0.10580000000000001,6.4699999999999994E-2,4.6600000000000003E-2,0.43490000000000001,3.7008999999999999,4.5087999999999999,21.048999999999999,50.322000000000003,82.150999999999996,219.88499999999999,322.774,180.19499999999999,399.96600000000001,577.56700000000001,1123.4829999999999,2331.817,8976.7999999999993,9209.6,9305.1,,,,,,,
32,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,95,139,231,259,257,297,291,308,302,284,274,257,249,235,204,182,180,181,663,610,592,591,,,,,,,
33,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,210.43899999999999,217.76300000000001,240.71199999999999,260.06200000000001,306.8,371.226,441.46600000000001,492.95600000000002,530.10599999999999,552.04600000000005,582.21799999999996,658.72699999999998,691.87699999999995,791.11900000000003,958.38199999999995,1101.8900000000001,1155.481,1268.319,2498.08,2552.924,2624.864,2798.1060000000002,,,,,,,
34,SCG AU Equity,SCENTRE GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,16462,29007.3,28072.3,29872.3,33493.599999999999,36044.800000000003,34937.699999999997,31295.3,31559.200000000001,32208.5,#N/A,,,,,,,
35,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,552.375,334.68900000000002,358.70699999999999,291.38400000000001,360.30799999999999,384.642,327.68900000000002,418.72800000000001,461.73599999999999,784.11199999999997,801.69200000000001,1062.4390000000001,1229.1569999999999,1013.254,1883.9649999999999,1954.018,1989.625,2791.703,2542.2440000000001,2453.7289999999998,377.14400000000001,534.30999999999995,,,,,,,
36,REH AU Equity,REECE LTD,AUD,90.465000000000003,105.77,123.708,142.89599999999999,176.73400000000001,211.31200000000001,271.142,302.39699999999999,308.04599999999999,341.012,374.19799999999998,423.779,452.13799999999998,462.42700000000002,500.03500000000003,528.90800000000002,568.71400000000006,664.00900000000001,1345.34,1257.1510000000001,1492.92,1586.3009999999999,,,,,,,
37,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,87.114800000000002,89.317999999999998,120.35299999999999,157.03299999999999,472.637,582.41800000000001,984.23800000000006,1308.8789999999999,1039.134,1044.623,926.34400000000005,1042.9190000000001,1337.0150000000001,1709.1,1842.3,2550.4,2584.4,3958,,,,,,,
38,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,439.416,512.548,519.08399999999995,1162.048,1077.126,1162.271,1490.4090000000001,1626.0450000000001,1737.106,1786.4960000000001,1846.4590000000001,1970.127,2145.2190000000001,3591.806,3860.1840000000002,3865.8319999999999,4113.1620000000003,4643.8230000000003,8925.1,8900.1,9434.6,10187.200000000001,,,,,,,
39,PLS AU Equity,PILBARA MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.2792,0.2366,0,5.57E-2,3.1953,3.4157999999999999,1.7668999999999999,4.4085000000000001,3.0741999999999998,0.34,1.0960000000000001,110.70399999999999,379.346,440.34899999999999,488.81900000000002,785.68100000000004,938.65,1384.5340000000001,,,,,,,
40,ASX AU Equity,ASX LTD,AUD,63.781999999999996,54.304000000000002,50.988,35.003999999999998,17.245999999999999,19.024999999999999,17.797000000000001,28.544,34.302999999999997,57.1,65.5,56.1,52.6,54.8,51.6,46.6,54.4,61.5,137,122.5,110,90.5,,,,,,,
41,APA AU Equity,APA GROUP,AUD,1232.01,1222.1169,1184.8620000000001,1819.6010000000001,1956.037,3570.223,3236.723,3362.4450000000002,3483.328,3768.3420000000001,3472.1979999999999,5280.4110000000001,5574.4809999999998,8355.1929999999993,9189.0869999999995,9150.1650000000009,9691.6659999999993,9796.0720000000001,9766.4110000000001,9500.7720000000008,9420.3349999999991,10755,,,,,,,
42,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.75319999999999998,3.7442000000000002,2.536,2.379,1.927,5.0389999999999997,4.7320000000000002,4.4020000000000001,5.9489999999999998,6.6079999999999997,7.2889999999999997,13.909000000000001,65.736999999999995,66.721000000000004,68.429000000000002,71.129000000000005,79.896000000000001,,,,,,,
43,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,251.62799999999999,160.25899999999999,185.15799999999999,200.666,165.64699999999999,12.563000000000001,47.826000000000001,31.462,241.09399999999999,264.928,293.25799999999998,267.03399999999999,308,454.8,390,382.1,1055.2,1795.7,1854.2,1801.2,4131.6000000000004,4209.7,,,,,,,
44,TLC AU Equity,LOTTERY CORP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.5,156,147,,,,,,,
45,TPG AU Equity,TPG TELECOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1249,3319,4270,4695,5107,5107,5107,5107,5107,5107,,,,,,,
46,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,77.441999999999993,88.628,137.95400000000001,106.1,93.3,87.3,53.6,49.3,112.2,101.7,88.4,70.5,,,,,,,
47,EDV AU Equity,ENDEAVOUR GROUP LTD/AUSTRALI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4826,5004,5061,5303,5303,5303,5303,5303,,,,,,,
48,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,912.7,931.1,1024.4000000000001,958.3,928.8,1383.6,1366.2,1457.8,1935.2,1948.5,1804.7,1989.7,2011.3,,,,,,,
49,WOR AU Equity,WORLEY LTD,AUD,12.305999999999999,11.186,9.298,34.225999999999999,64.619,63.267000000000003,81.7,139,116,108.1,135.69999999999999,139.6,115.7,107.2,73.3,52.3,54.3,462,783,618,617,633,,,,,,,
50,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,1065.0999999999999,3085.6001000000001,3288.6,3374.4,3743.2,3670.7,3807.3,4261.6000000000004,4258.3,3500.6,3295.6,3419.6,3515.3,3732.6,3834.1,3721.7,4049.3,4147.5,4513.3,4879.8,5684.7,6029.1,,,,,,,
51,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,9109.5,11432.5,12256.6,12684.5,12375,12308.3,12341,12155,12516,13652,14139,13827,10500,10715,11670,12253,12851,14195,13166,11896,11181,13152,,,,,,,
52,SGP AU Equity,STOCKLAND,AUD,3146.6759999999999,5626.4319999999998,6473.2820000000002,7908.8,8952.5,9874.4,10288.1,10685.3,10429,11567.1,12072.7,11852,12412,13556,14583,15374,16976,16229,16070,16039,10527,10566,,,,,,,
53,PME AU Equity,PRO MEDICUS LTD,AUD,0.307,0.23899999999999999,0.22900000000000001,0.19,0.22800000000000001,0.214,0.19900000000000001,0.47699999999999998,0.36799999999999999,0.38800000000000001,0.35599999999999998,0.33400000000000002,0.30199999999999999,0.34100000000000003,0.38200000000000001,0.28299999999999997,0.35199999999999998,0.503,2.8479999999999999,3.0139999999999998,2.6019999999999999,2.1869999999999998,,,,,,,
54,VCX AU Equity,VICINITY CENTRES,AUD,#N/A,#N/A,#N/A,#N/A,2205.9670000000001,771.71100000000001,786.17200000000003,702.03300000000002,638.47699999999998,111.8,3701.0410000000002,4286.848,8830.4,14109.7,14426.6,15633.5,15892.7,15351.8,13834.3,13347.9,14420.8,14337.6,,,,,,,
55,ALX AU Equity,ATLAS ARTERIA,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,773.19500000000005,742.20899999999995,746.74,0,0,0,0,0.72799999999999998,4.5949999999999998,11.249000000000001,13.266999999999999,16.919,15.679,#N/A,,,,,,,
56,ALD AU Equity,AMPOL LTD,AUD,1625.327,1615.3209999999999,1697.5070000000001,2076.279,2288.442,2476.9630000000002,2742.2809999999999,2779.846,2895.5219999999999,1535.4480000000001,1769.915,2125.6170000000002,2363.672,2602.8649999999998,2690.8649999999998,2818.3530000000001,2889.8629999999998,3702.4520000000002,3467.7,3564.7,4617.7,#N/A,,,,,,,
57,SEK AU Equity,SEEK LTD,AUD,#N/A,0.48199999999999998,1.77,2.7370000000000001,4.6509999999999998,6.2709999999999999,9.2409999999999997,13.941000000000001,14.289,19.201000000000001,24.744,31.5,20.7,28.1,28.1,29.1,39.5,43,91,260.2,241.6,228.3,,,,,,,
58,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,1395.3,1672.9,1997.8,2974.2,2997.1,3400.9,6323.5,6176,6236,7632,6529,6447,6757,6588,6640,6283,6013,5418,,,,,,,
59,IGO AU Equity,IGO LTD,AUD,0.106,8.6080000000000005,8.2520000000000007,22.949000000000002,26.63,8.5250000000000004,6.1079999999999997,66.293000000000006,92.162000000000006,519.27800000000002,363.81799999999998,584.78499999999997,488.09199999999998,460.47399999999999,154.84200000000001,1730.9090000000001,1563.598,1448.1949999999999,1342.2270000000001,963.47500000000002,1967,1078.8,,,,,,,
60,MGR AU Equity,MIRVAC GROUP,AUD,2353.165,2688.1860000000001,2463.1039999999998,2894.8890000000001,3353.5680000000002,3923.3319999999999,4070.2669999999998,3759.1,4581.7,5801.3,5795.9,6347.4,6265.1,7013,7411,8312,9334,10683,11205,11849,12230,9784,,,,,,,
61,DXS AU Equity,DEXUS/AU,AUD,#N/A,#N/A,#N/A,6757.5640000000003,7991.4750000000004,8855.8580000000002,8182.2950000000001,7120.71,7146.3969999999999,7105.9139999999998,6391.4570000000003,6085,5926.5,6207.3,6419.5,7169.1,8242.6,8170,8229.2999999999993,8490.4,8312.6,6044.6,,,,,,,
62,GPT AU Equity,GPT GROUP,AUD,6528.1000999999997,7485.3999000000003,8871,9397.2999999999993,10263.299999999999,9904,6696.1,6023.6,6562.5,6423.6,6500.6,6678.2,7093.5,7372.8,7944.9,8745.7000000000007,10128.799999999999,10379.1,10364.200000000001,11985.4,11980.5,#N/A,,,,,,,
63,EBO NZ Equity,EBOS GROUP LTD,AUD,11.5626,11.4101,11.124599999999999,10.0413,9.0718999999999994,9.5630000000000006,17.571100000000001,15.5528,14.2996,13.092599999999999,18.389600000000002,80.487399999999994,78.767300000000006,98.0762,93.697299999999998,110.5485,112.166,174.46299999999999,396.63499999999999,394.57600000000002,551.98500000000001,611.56500000000005,,,,,,,
64,ORI AU Equity,ORICA LTD,AUD,1414.1,1436.8,1518,1593.7,1603.1,1742.9,2052.3000000000002,2075,2235.1999999999998,2709.7,3034.4,3583.2,3794.9,2917.9,2725.3,2741.5,2866.2,2899.6,3267,3040.2,3082.3,#N/A,,,,,,,
65,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,0.1239,2.7410000000000001,2.6846999999999999,3.2608999999999999,3.6000999999999999,3.5939999999999999,8.9830000000000005,153.92500000000001,163.893,1023.766,917.62,982.36699999999996,1015.255,1847.943,2542.6680000000001,2315.527,2249.1210000000001,2791.2220000000002,3172.7689999999998,5157.8559999999998,5808.0439999999999,,,,,,,
66,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1383.6869999999999,1447.7629999999999,2062.181,2704.9589999999998,2745.741,2802.9279999999999,1840.7,4151.3999999999996,7693,7720,7542,8883,8381,8128,#N/A,,,,,,,
67,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7383.8,8325.2000000000007,9037.2000000000007,9459.5,9441,9900,9719.2000000000007,8835,8659.9,8536.2999999999993,8537.1,8483.2000000000007,8406.7999999999993,9945,,,,,,,
68,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,79.971000000000004,269.36399999999998,390.69499999999999,512.67600000000004,766.32500000000005,946.40899999999999,3477.482,3706.0810000000001,3911.8510000000001,3740.59,3704.1959999999999,3599.248,4255.3100000000004,4388.9610000000002,4746.3370000000004,3943.9209999999998,4074.136,4241.0450000000001,,,,,,,
69,AKE AU Equity,ALLKEM LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,0.89119999999999999,3.4964,15.577400000000001,27.59,44.499699999999997,22.488399999999999,23.429600000000001,28.1814,28.3934,13.692399999999999,10.1447,935.04920000000004,1210.8331000000001,1233.7628,4315.4557000000004,5114.7232999999997,,,,,,,
70,NXT AU Equity,NEXTDC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.628100000000003,141.048,127.117,207.77,221.17400000000001,302.74599999999998,434.267,679.95,1328.473,1670.8150000000001,1881.0029999999999,2359.0590000000002,2894.9,,,,,,,
71,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.885999999999999,5.3280000000000003,8.4949999999999992,11.298999999999999,14.122999999999999,18.986999999999998,21.288,106.81399999999999,101.65,117.2,142.91300000000001,,,,,,,
72,SDF AU Equity,STEADFAST GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.7170000000000001,12.944000000000001,19.824999999999999,25.777000000000001,27.908000000000001,27.498000000000001,39.000999999999998,43.667000000000002,93.55,91,104.6,122.7,,,,,,,
73,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,296.61500000000001,296.13200000000001,291.971,441.1,502.1,1670.6,1663.4,1844.1,2283.3000000000002,2738.5,3033.5,3511.4,4003.6,3892.7,3854.8,4004.3,4190,4292.8,4143.3999999999996,4467.8999999999996,#N/A,,,,,,,
74,ALU AU Equity,ALTIUM LTD,AUD,2.1680000000000001,1.544,1.3240000000000001,1.639,1.51,2.1179999999999999,2.2155,5.1455000000000002,4.3002000000000002,4.226,1.8749,1.7158,2.0246,5.0415000000000001,6.8362999999999996,9.5297999999999998,7.7252000000000001,11.071199999999999,30.643000000000001,21.5886,17.378499999999999,21.943300000000001,,,,,,,
75,ALQ AU Equity,ALS LTD,AUD,87.486000000000004,86.572000000000003,85.947000000000003,89.313000000000002,125.361,134.566,163.452,221.59899999999999,227.98400000000001,276.27,335.7,408.2,492.4,502.6,457.3,395.5,400,438.4,727.2,631.29999999999995,693.4,812.6,,,,,,,
76,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,28.468,129.358,154.98099999999999,214.52699999999999,718.78,965.23400000000004,1092.2329999999999,1137.6220000000001,1039.056,1224.5999999999999,1092.0999999999999,822,860.4,897.1,936.5,1184,1232,1592.8,1720.7,2049.1999999999998,2187.3000000000002,,,,,,,
77,BLD AU Equity,BORAL LTD,AUD,2070.6999999999998,2097,2304.6999999999998,2649.1,2908.1,2989.6,3088.9,3104,2785.1,2894.9,3566.7,3378.1,2561.9,2448.4,2517.6999999999998,2723.8,2782.1,2880.4,3060,2031.7,2117.8000000000002,2118.5,,,,,,,
78,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,49.006999999999998,53.518999999999998,56.6,47.5,81.099999999999994,61.5,113.5,115.9,103.6,99.9,69,63.4,96.8,98.8,90.7,77.8,69.900000000000006,63.1,252.3,205.9,179.6,166.2,,,,,,,
79,JBH AU Equity,JB HI-FI LTD,AUD,10.423999999999999,14.88,21.94,35.908999999999999,57.206000000000003,80.144000000000005,112.923,136.06299999999999,163.982,169.59,182.048,181.09800000000001,181.56399999999999,176.208,183.57,208.2,198,191.5,814.5,705.3,630.6,712.9,,,,,,,
80,NHC AU Equity,NEW HOPE CORP LTD,AUD,298.851,276.08499999999998,266.59500000000003,134.22399999999999,160.67599999999999,224.62,309.78300000000002,396.96499999999997,441.053,672.28599999999994,698.43,841.24699999999996,890.33,879.23299999999995,1722.463,1717.2059999999999,1630.3579999999999,2439.8220000000001,2179.0500000000002,2057.366,1827.289,1787.9490000000001,,,,,,,
81,TNE AU Equity,TECHNOLOGY ONE LTD,AUD,2.3210000000000002,2.3130000000000002,2.2080000000000002,2.1659999999999999,2.6859999999999999,3.5190000000000001,5.5119999999999996,7.468,18.814,18.733000000000001,15.49,11.617000000000001,8.875,10.012,11.680999999999999,13.525,12.28,10.9,32.755000000000003,29.818999999999999,31.614999999999998,#N/A,,,,,,,
82,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,121.30200000000001,362.93299999999999,513.62199999999996,639.88699999999994,789.29399999999998,828.3,906.6,1006.7,1315.4,2208.4,2236.4,2682.2,2996.4,,,,,,,
83,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,800.56399999999996,928.58799999999997,1129.9559999999999,1212.3440000000001,474.73399999999998,533.22500000000002,1765.933,1865.1869999999999,1928.2329999999999,2114.08,2190.0230000000001,2402.4430000000002,2472.5610000000001,2488.5390000000002,2627.1,2866.866,3089.7339999999999,3205.1579999999999,4391.9040000000005,4766.9840000000004,5157.54,5626.6509999999998,,,,,,,
84,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,17.039000000000001,21.082999999999998,28.335999999999999,31.442,32.963999999999999,33.496000000000002,30.411999999999999,30.504999999999999,30.812000000000001,34.378,35.030999999999999,49.692999999999998,93.263000000000005,121.61199999999999,188.05,198.67400000000001,200.10300000000001,253.15199999999999,651.83000000000004,619.04100000000005,580.31600000000003,621.73500000000001,,,,,,,
85,VEA AU Equity,VIVA ENERGY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1737.1,1188.5,1398.6,1467.2,3796.2,3796.7,3702.2,3732.2,#N/A,,,,,,,
