Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,9509.9192000000003,6937.3837000000003,6177.8005000000003,8446.1558999999997,8756.6916000000001,8349.7204999999994,13909.3231,11361,13769,15814,16988,20609,22345,21877.915000000001,21147.291099999999,17544.802899999999,23869.089899999999,23503.7016,22947.751499999998,41238.147599999997,42317.0553,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,20635,20443,25036,29665,31757,39613,48383,45627.088400000001,40451.568800000001,45574.841500000002,48876.047400000003,52952.839699999997,55113.288399999998,57854.595300000001,57618.123899999999,56146.953399999999,56200.4827,57178.245999999999,60597.868499999997,67751.820800000001,57461.5046,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,2442.2950000000001,2741.5264999999999,2565.587,4074.1567,5735.4169000000002,5437.7132000000001,4518.6540000000005,6954.7987999999996,7480.8077999999996,16136.3212,20509,17073,13587,15312.662200000001,15027.527899999999,15085.9599,15526.102199999999,16883.468799999999,19219.158200000002,19626.5173,25114.294000000002,26272.304700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,229.1275,190.02719999999999,209.3552,1322.8477,10306.6713,9936.1137999999992,12643.605799999999,3450.8798999999999,3388.6228000000001,3367.6255000000001,4393.4315999999999,5246.4434000000001,16521.739099999999,20109.739399999999,21102.951400000002,18931.899600000001,18820.672999999999,18031.178800000002,15983.8835,17897.622599999999,18383.194,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,8289.4004000000004,8430,9037.2998000000007,9223.7999999999993,9135.2999999999993,9721.1,9721.1,9721.1,12544.7,9777,18349,18123,18836,18292,18292,18292,18292,18292,18292,18292,18292,18292,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,140.65899999999999,245.779,276.226,537.226,1130.645,1276.9000000000001,1399.8,1663.6,2658.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,5.1970000000000001,4.4290000000000003,16.163399999999999,26.751999999999999,93.9422,134.18950000000001,158.446,143.16399999999999,184.47900000000001,248.423,300.88900000000001,394.76299999999998,518.56799999999998,669.97,1483.2840000000001,1578.8130000000001,1728.097,1581.731,1590.5229999999999,2372.2860000000001,2568.8000000000002,2626.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,8888.3201000000008,5902.1292000000003,5890.6886999999997,6313.9318999999996,5799.3386,7253.0344999999998,7372.4475000000002,8718.2325999999994,7892.2963,9852.8801000000003,10603.3302,10090.7788,10586.421399999999,11025.959199999999,10280.4064,9998.7994999999992,11475.260399999999,13073.1744,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,84901,94722,97463,95339,95488,96062,95928,94429,95651,95748,97109,99333,96235,95747,96857,106378,114983,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,160.428,230.57900000000001,264.53899999999999,502.69600000000003,545.92399999999998,586.29399999999998,607.91600000000005,679.37300000000005,751.71900000000005,741.04700000000003,702.54200000000003,765.26,789.03599999999994,875.40200000000004,957.36300000000006,1136.3589999999999,1156.9000000000001,1379.2,2575.6999999999998,2426.1,2465.1,2568.6999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
