Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,957.689,1319.3605,999.772,1483.9218,216.4893,1106.6933,3398.3697,5397.3994,5917.0899,12955.1821,15094,10002,7707,9025.6876,9560.897,9812.4512,10091.9665,10884.3246,12500.7257,13504.0683,16876.4468,17561.8534,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,-44.2472,-16.5499,98.7544,577.3516,5639.4609,7482.514,8918.9911,1350.078,521.3567,1457.2404,1529.712,2035.1742,3643.1108,2983.8134,3588.1945,3804.1475,4112.3101,3812.5,3469.8466,5397.8288,6201.0559,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,3307.6,3776.3999,4083.2,3415.1,3598,3906.8,3906.8,3906.8,3249.6,3357.1,2615,2813,3124,3356,3356,3356,3356,3356,3356,3356,3356,3356,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.007,196.176,213.762,352.155,766.567,1003.4,1106,1315.2,1894.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,2.865,1.548,11.1571,18.8087,71.1974,85.0515,114.824,93.511,138.85,196.936,250.518,314.87,408.312,558.079,715.775,804.73,940.769,905.435,864.493,1139.221,1363.3,1517,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,3978.1759,1673.5678,1613.0212,1770.031,1928.1918,2288.8889,2677.4792,3316.9609,2919.1426,3426.4401,3968.1751,3707.6061,3757.6413,5431.7501,4000.5806,3576.4973,3546.1516,4303.4938,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,12391,12366,13229,13953,14018,14127,13983,13799,13518,13570,13790,13973,13133,12784,13448,12783,13347,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,75.416,119.687,145.529,154.661,209.778,260.809,319.341,364.234,438.308,503.283,384.88,354.511,329.205,355.386,448.557,543.647,610.8,725.9,1401.5,1689.6,1685.7,1748.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,1626.039,1789.604,1939.455,3518.593,3645.685,6969.256,5176,11144,11438,13516,14458,14794,15129,14159,14060,11418,11828,13149,12701,9475,10022,8911,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1181.0272,14316.2948,12652.0747,13330.2943,14483.3649,14502.924,13878.0842,11943.444,15594.6181,14057.5798,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,1163.912,588.407,604.867,791.598,942.8371,979.3836,804.8866,1115.9988,1267.2163,1162.8908,1127.8388,1239.9244,1344.6647,1527.8166,1485.8775,1611.1331,1803.35,2245.1448,2308.1553,3040.6789,3174.8626,3210.3494,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,0.2243,0.122,5.5617,5.3715,4.7273,6.2075,7.7105,3.521,5.0845,26.127,94.508,110.335,242.484,323.252,451.914,615.1,821.436,1114.935,2143.758,7978.5,8247,8483.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,2979,4053,4224,4503,3671,4832,4351,4836,4656,4580,4524,4988,6794,7018,6785,6792,6941,6710,6354,6556,6500,7049,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,837.465,831.292,847.787,945.265,1302.345,1438.445,1962.079,2532.083,2558.741,2516.435,2610.199,2918.101,3108.994,3325.998,3732.709,3926.13,4282.925,5491.866,5664.398,6504.343,7428.174,7921.862,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SCG AU Equity,SCENTRE GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15340.7,16428.8,17906.2,19754.4,22781.3,23865.8,23547.9,18994.4,19174.6,18720.5,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,792.163,837.465,1112.493,1712.543,1952.098,2146.796,2015.995,3827.263,3819.64,3913.758,3773.876,3750.021,3840.125,3774.435,3746.651,4038.31,4341.605,4511.469,5111.987,5153.581,8458.899,8735.013,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,REH AU Equity,REECE LTD,AUD,202.64,241.909,281.027,329.1,376.003,432.869,490.997,533.255,594.871,654.317,706.947,765.832,826.968,926.212,1041.026,1158.301,1880.838,1991.58,2749.886,2888.109,3320.869,3625.424,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,43.7312,75.66,116.022,144.765,485.679,627.506,916.751,1017.74,1139.309,1082.153,1008.654,1132.092,1304.566,1380.2,2295.6,3246.1,3271.1,3521.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,223.076,253.129,270.589,774.882,838.574,883.637,914.164,909.162,1223.857,1303.863,1406.201,1541.815,1743.644,1764.029,2046.061,2358.686,2447.409,3023.07,4235.9,4550.8,4526.2,4823.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PLS AU Equity,PILBARA MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.2012,0.3132,-0.0546,0.3949,4.9045,3.9849,1.9043,4.059,2.3808,3.901,98.431,200.172,343.241,376.65,386.974,574.245,1292.026,3390.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ASX AU Equity,ASX LTD,AUD,198.081,212.799,219.796,286.979,355.907,2756.384,2754.246,2773.438,2921.295,3021.1,2995,3321.8,3670.9,3759.7,3824.1,3908.1,3945.5,3916.4,3720.4,3736.3,3805.4,3640.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,APA AU Equity,APA GROUP,AUD,438.747,443.18,528.006,613.769,591.46,1160.767,1250.208,1278.455,1395.145,1667.845,1614.042,2513.929,2496.489,4382.65,4029.111,3978.183,4126.827,3599.397,3214.858,2950.978,2628.445,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,63.621,67.7536,76.005,88.974,108.746,128.385,152.51,187.376,229.513,260.37,277.16,333.405,314.562,291.562,940.501,1013.409,3124.629,,,,,,,,,,,,,,,,,,,,,,,,,,,
