Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,LLC AU Equity,LENDLEASE GROUP,AUD,3752.1001,3007.6,2835.9,2710.4,3011.3,3243,2981.4,2447.3,3360.5,3632.6,3911.2,4266.8,4868.8,5168.2,5614.7,6166.5,6414,6357,6932,6951,6970,6644,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,CHC AU Equity,CHARTER HALL GROUP,AUD,#N/A,#N/A,#N/A,#N/A,279.47,461.011,492.32,493.966,810.99,781.945,756.356,740.294,917.088,1200.461,1311.084,1722.271,1858.2,1959.9,2145.7,2508.8,3289.7,3255.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,AUD,235.939,357.665,424.235,372.649,408.062,481.989,603.179,610.689,710.652,740.616,857.129,1026.194,1097.798,1270.121,1345.945,1428.755,1514.555,1462.318,1359.968,956.036,777.462,1136.497,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,CGF AU Equity,CHALLENGER LTD,AUD,#N/A,#N/A,1084.948,1156.9,1610.2,1448.6,1630,1689.4,1719.7,1799.4,2044.5,2294.2,2276.1,2638.6,2684,2901.3,3485.8,3622.8,3249.6,3825.8,3988.3,4164.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,LTR AU Equity,LIONTOWN RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.0178,14.5514,7.8121,2.6835,4.1488,3.2581,4.6102,5.0971,5.1225,5.1229,0.5943,1.5023,3.8874,-0.0181,6.5197,13.4873,466.847,449.736,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,BKW AU Equity,BRICKWORKS LTD,AUD,544.155,607.101,894.716,893.411,963.628,1072.715,968.577,1371.448,1649.934,1675.746,1662.608,1719.899,1796.496,1824.25,1838.485,1967.84,2071.078,2167.358,2403.206,2479.748,3259.995,3561.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CIA AU Equity,CHAMPION IRON LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,4.1793,3.1672,0.3942,0.282,0.8008,1.0312,10.367,100.5417,94.5761,84.7061,93.1803,54.9619,227.3975,435.0844,890.7069,1241.5937,1393.858,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PMV AU Equity,PREMIER INVESTMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1154.027,1212.495,1193.738,1249.806,1300.366,1298.529,1338.307,1338.555,1335.673,1344.934,1349.286,1347.448,1532.905,1677.519,1741.336,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,MTS AU Equity,METCASH LTD,AUD,343.6339,427.105,470.155,4.465,1032.867,1180.176,1239.7,1279.4,1377.6,1442.8,1335.1,1624.2,1594,1156.6,1369.1,1637.4,1334.2,1250.1,1371.6,1291.1,1090.4,1085.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BPT AU Equity,BEACH ENERGY LTD,AUD,47.594,57.415,97.951,120.615,283.035,833.561,1071.63,1332.678,1371.556,1272.522,1611.847,1782.506,1870.773,1354.8,1074.5,1402,1838,2374.4,2819.8,3087.8,3539.9,3877.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,NHF AU Equity,NIB HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,283.584,336.214,384.841,361.883,391.401,411.79,301.598,326.153,356.368,344.263,386.064,427.6,557.8,632.2,603.1,706.2,734.3,983.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,SMR AU Equity,STANMORE RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.9643,32.001,63.03,75.086,70.718,58.758,39.085,66.818,73.162,157.104,152.438,162.1547,1955.712,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BOQ AU Equity,BANK OF QUEENSLAND LTD,AUD,258.515,378.3,603.2,712.9,689.8,854.3,1690.9,2111.4,2404.8,2573.6,2899.2,2817.8,3341,3469,3587,3788,3856,3859,4231,6197,6668,6130,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,APE AU Equity,EAGERS AUTOMOTIVE LTD,AUD,84.826,128.995,150.032,161.039,239.478,303.544,311.107,330.639,360.217,380.615,468.536,539.125,591.056,703.009,763.792,785.775,635.659,821.829,924.577,1087.451,1241.63,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,ORA AU Equity,ORORA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1061.5,1381.7,1442,1497.6,1546.8,1630.5,1644.5,1030.2,768.6,731.7,800.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,NIC AU Equity,NICKEL INDUSTRIES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.4564,1.5035,101.6293,1028.0739,1411.787,1827.5554,2661.0125,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,NWL AU Equity,NETWEALTH GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.5,43.136,51.395,67.412,63.847,76.029,93.181,104.243,123.049,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ILU AU Equity,ILUKA RESOURCES LTD,AUD,879,941.1,852.6,757.1,716.5,751.6,1038,1095.3,1124.6,1534.7,1567.1,1538.1,1434.6,1408.6,1103,885.5,1110,711.6,1292.3,1594.6,1894.8,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BRG AU Equity,BREVILLE GROUP LTD,AUD,127.001,141.863,158.746,154.262,157.745,117.115,131.686,131.313,150.223,153.578,177.412,201.196,213.046,231.405,246.005,259.609,283.235,310.335,415.083,506.485,614.417,769.659,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,NEC AU Equity,NINE ENTERTAINMENT CO HOLDIN,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1483.641,1823.65,1082.713,1233.839,985.89,1109.039,2773.323,1881.592,1959.601,2071.55,1876.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,SUL AU Equity,SUPER RETAIL GROUP LTD,AUD,#N/A,#N/A,87.002,104.597,112.93,124.526,135.761,156.354,270.557,303.68,688.7,731.5,760.4,765.3,734,730.6,799.2,816,991.3,1226.5,1289,1367.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,AUB AU Equity,AUB GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,84.468,94.73,103.669,114.253,134.574,153.316,172.29,230.398,269.579,311.326,351.235,345.781,357.23,483.398,490.418,598.287,997.677,1513.368,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,CRN AU Equity,CORONADO GLOBAL RESOURCE-CDI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1211.2041,810.6759,1780.2187,1235.6791,1048.6912,1480.6953,1617.6712,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4978,4274,3983,4171,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TLX AU Equity,TELIX PHARMACEUTICALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.2928,52.9044,70.081,79.016,2.158,80.007,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PDN AU Equity,PALADIN ENERGY LTD,AUD,4.633,4.425,13.5454,57.9026,168.0251,1538.9954,1493.6775,781.6718,1146.6871,1265.3595,1167.3669,710.6677,458.8285,257.2652,65.5982,-567.5944,144.3887,109.3111,134.9768,329.0756,518.5359,502.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,SFR AU Equity,SANDFIRE RESOURCES LTD,AUD,#N/A,#N/A,3.9981,2.0759,4.692,5.6538,7.8124,2.7896,56.752,138.452,117.236,211.655,291.808,347.778,383.608,441.85,532.051,604.177,750.22,912.3063,2409.4878,2600.9102,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,NSR AU Equity,NATIONAL STORAGE REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.7218,244.327,385.662,398.35,732.617,890.279,1304.274,1721.824,2284.642,2838.892,3386.517,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,CSR AU Equity,CSR LTD,AUD,4104.3999,1148.8,1144.9,1256.1,1075.4,1264.2,1590.7,1586.5,1818.2,1281.3,1278.7,1086.6,1157.2,1206,1317.2,1206.5,1274.1,1231.1,1125.5,1157.8,949.4,1176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,ANN AU Equity,ANSELL LTD,AUD,876,844.5001,811.8,623.4,880.6413,721.7974,570.5925,791.4551,784.9297,632.6797,704.2501,833.3,1210.208,1513.4925,1526.3865,1600.2865,2096.5648,2011.6959,2025.8345,2086.9681,2252.0255,2422.2522,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,DOW AU Equity,DOWNER EDI LTD,AUD,709.565,760.191,823.029,900.582,950.543,1169.907,1196.364,1330.388,1242.851,1442.385,1617.7,1826.574,1962,2035.3,2088.5,3586.5,3205.1,3032.8,2595,2957.4,2811.8,2289.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,DRR AU Equity,DETERRA ROYALTIES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.723,118.625,92.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,HUB AU Equity,HUB24 LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.6614,0.0052,2.3854,8.6808,15.3921,43.8352,13.4421,17.3221,18.3933,17.8974,18.9625,43.6154,57.8656,64.9235,74.8234,181.0704,455.66,510.412,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,CTD AU Equity,CORPORATE TRAVEL MANAGEMENT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.748,38.231,53.009,69.119,132.884,235.911,273.443,401.404,471.492,592.482,558.087,851.457,1081.385,1187.617,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,SGM AU Equity,SIMS LTD,AUD,338.838,396.97,448.568,517.456,1196.785,1279.43,2833.924,2859.047,3278.8,2920.5,2283.7,1929.2,1833.9,2112.8,1832.5,1967.6,2188.7,2298.7,1982.3,2119.1,2537.5,2656.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ARB AU Equity,ARB CORP LTD,AUD,31.991,37.683,44.8389,52.508,61.05,68.83,77.727,92.039,111.406,129.275,151.176,177.543,197.814,226.348,249.608,272.341,303.062,346.594,372.261,485.777,555.347,607.126,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,VNT AU Equity,VENTIA SERVICES GROUP PTY LT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.856,22.689,33.655,390.5,520.9,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,WEB AU Equity,WEBJET LTD,AUD,2.081,1.875,1.1746,6.996,26.377,22.799,30.004,33.872,40.312,40.215,32.953,60.743,69.284,82.455,150.6,216.338,442.8,644.2,805.1,607.1,738.4,834.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PRU AU Equity,PERSEUS MINING LTD,AUD,#N/A,#N/A,2.416,5.1059,13.7428,21.95,58.9713,132.7969,320.9301,212.3848,359.8679,481.844,466.609,583.222,769.338,709.862,714.314,783.512,875.552,1059.099,1642.157,2151.818,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,RGN AU Equity,REGION RE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1009,1065.6,1276.8,1408.9,1633.7,1721,2103.9,2374,2724.8,3133.9,2928,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,AWC AU Equity,ALUMINA LTD,AUD,9507.1499,1759.9043,1803.4232,2085.8779,2225.8024,1897.9126,3963.1049,3622.9673,3002.1503,2783.0327,2531.5419,3129.1587,2968.7691,2720.0274,2780.7953,2859.703,3032.5146,2537.1583,2254.484,2316.3392,2272.1807,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,HDN AU Equity,HOMECO DAILY NEEDS REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,933.1,3137.7,3076.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,CLW AU Equity,CHARTER HALL LONG WALE REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,817.4,940.37,1321.455,2185.917,3279.11,4458.29,4069.793,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PPT AU Equity,PERPETUAL LTD,AUD,256.6,287.427,315.357,269.262,330.996,340.964,314.41,290.041,361.024,376.101,280.461,323.738,556.402,583.694,605.519,634.381,661.134,662.239,654.336,907.1,925.8,2372,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,DEG AU Equity,DE GREY MINING LTD,AUD,7.516,7.784,10.8717,10.4423,3.9851,6.897,5.9258,2.7852,2.1371,1.3413,2.2862,0.0825,0.6032,0.2814,1.0747,1.1761,9.5965,19.6137,75.2324,175.6374,288.1411,416.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,DHG AU Equity,DOMAIN HOLDINGS AUSTRALIA LT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109.896,1333.452,1163.524,906.049,950.73,1112.429,1102.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,BWP AU Equity,BWP TRUST,AUD,255.131,302.642,395.329,464.197,504.499,675.368,638.772,733.024,792.797,986.319,973.961,1037.208,1311.355,1441.76,1645.372,1762.106,1833.049,1874.594,1968.745,2116.416,2486.339,2405.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,GOR AU Equity,GOLD ROAD RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,7.8965,6.9656,6.0066,5.9868,6.6937,21.2105,40.9421,25.7123,36.2164,92.1442,157.2175,386.75,338.966,336.132,419.467,441.484,831.825,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PXA AU Equity,PEXA GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1031.792,1264.701,1241.948,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,APM AU Equity,APM HUMAN SERVICES INTERNATI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.573,1479.762,1497.542,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,LOV AU Equity,LOVISA HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.642,6.809,11.171,28.189,45.242,53.651,58.368,45.715,64.323,79.989,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,RMS AU Equity,RAMELIUS RESOURCES LTD,AUD,#N/A,#N/A,5.3482,4.7631,7.7142,25.596,33.6321,56.0984,110.3391,153.704,203.02,153.667,77.464,99.304,127.588,169.802,201.972,278.942,515.22,635.781,720.867,940.252,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,DDR AU Equity,DICKER DATA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,9.1545,10.9965,12.9203,14.1908,16.7525,18.547,20.147,20.419,71.832,73.958,74.883,79.962,95.067,161.613,178.297,230.145,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,BAP AU Equity,BAPCOR LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.4061,37.6275,48.274,96.961,266.925,366.22,589.967,642.346,722.187,982.059,1043.195,1092.257,1125.105,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,IVC AU Equity,INVOCARE LTD,AUD,90.472,64.114,31.844,27.461,46.36,60.479,62.979,92.407,97.423,142.617,151.891,170.697,187.959,203.438,234.21,282.417,191.297,296.979,522.87,580.921,545.216,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,CIP AU Equity,CENTURIA INDUSTRIAL REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.641,92.214,181.151,201.916,356.505,501.596,508.962,647.49,749.547,1139.043,2122.3,2689.345,2511.149,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,CQR AU Equity,CHARTER HALL RETAIL REIT,AUD,425.024,721.323,1048.894,2015.842,2310.9,2631.5,2425,1122,1109.8,1069.8,1013.4,1121.1,1255.1,1349.7,1532.2,1674.5,1696.5,1800.7,2142.1,2305.2,2854.5,2748.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,CMM AU Equity,CAPRICORN METALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,1.0529,10.2354,7.6863,6.2948,7.4064,9.974,7.1202,7.3751,6.832,23.2105,30.1075,35.9838,23.8173,96.508,130.46,247.535,256.537,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,1276.377,1319.876,1975.95,3258.6001,3362.9,3384.2,2757.3,3276.8,3454.7,1210.9,1405.8,1413.2,1481.4,1690.1,1688.1,1483.4,7238.6,7183,6027,6696.1,2711.1,2659.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,OGC CN Equity,OCEANAGOLD CORP,AUD,#N/A,#N/A,#N/A,147.0965,355.0945,403.9751,350.0156,437.3056,423.3614,466.3481,587.364,662.8543,851.7746,1563.524,1850.1469,1908.5548,2224.4782,2226.082,2033.9225,2128.3496,2453.8789,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,JLG AU Equity,JOHNS LYNG GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-9.9116,-11.7342,-14.318,34.48,44.356,59.102,73.408,332.822,394.175,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,BGL AU Equity,BELLEVUE GOLD LTD,AUD,#N/A,#N/A,#N/A,0.4954,0.838,1.6253,0.8627,0.9503,0.9942,1.1103,15.0929,6.1916,2.3671,1.8551,1.972,5.0904,19.8488,50.852,95.51,220.676,350.524,427.545,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,EVT AU Equity,EVT LTD,AUD,413.519,418.639,370.12,427.399,461.854,507.559,565.041,599.085,760.186,847.013,858.873,899.532,920.355,962.904,1012.744,1050.289,1088.598,1131.468,923.436,872.536,920.771,1009.828,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,NUF AU Equity,NUFARM LTD,AUD,391.039,462.321,560.494,617.314,702.189,1029.151,1305.218,1631.939,1749.891,1564.118,1476.802,1664.745,1608.7,1636.795,1550.228,1602.923,1971.624,2404.944,2143.623,2121.463,2152.721,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,LIC AU Equity,LIFESTYLE COMMUNITIES LTD,AUD,8.835,0.167,-6.135,5.6464,-0.2546,18.9852,15.2201,22.1358,29.1287,36.1207,39.9649,82.6349,94.9993,113.7677,131.3049,155.524,204.554,254.691,291.373,378.095,453.457,524.857,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,IPH AU Equity,IPH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.148,35.178,221.812,239.694,267.588,284.75,422.662,426.792,429.711,577.126,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,KLS AU Equity,KELSIAN GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.8399,20.5239,27.7961,30.7955,53.9434,61.294,136.955,147.683,152.222,157.915,600.292,608.106,640.012,923.607,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,EMR AU Equity,EMERALD RESOURCES NL,AUD,-0.014,4.0375,2.8872,9.7225,7.6029,3.6856,27.522,22.0596,13.9664,13.377,17.9809,17.6765,46.1542,34.8008,53.1812,120.321,105.068,249.123,323.982,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PSI AU Equity,PSC INSURANCE GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.3778,17.3584,24.4462,67.8036,77.972,145.42,151.051,244.521,346.407,408.765,455.729,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,INA AU Equity,INGENIA COMMUNITIES GROUP,AUD,#N/A,#N/A,60.545,342.59,523.101,415.682,177.668,110.022,114.314,151.172,174.652,240.177,343.52,421.602,515.732,533.873,625.747,943.021,993.033,1529.508,1536.787,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PNI AU Equity,PINNACLE INVESTMENT MANAGEME,AUD,#N/A,#N/A,#N/A,#N/A,29.196,59.198,66.03,67.38,63.558,56.289,48.563,48.008,54.445,44.47,49.583,75.66,98.097,177.053,188.547,243.892,402.184,422.573,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,GMD AU Equity,GENESIS MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.2157,0.9903,0.2271,0.1573,1.4667,1.7593,0.916,0.7555,-0.236,0.4245,4.361,3.9826,1.8393,15.1049,23.9088,28.6378,851.825,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,SGR AU Equity,STAR ENTERTAINMENT GRP LTD/T,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,206.1,2378,2817,2862.6,2931.6,3035.4,3147.7,3275.6,3781.5,3740.9,3455.8,3614.8,3430.3,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,GNC AU Equity,GRAINCORP LTD-A,AUD,304.919,275.097,398.58,396.713,408.151,399.021,436.145,693.738,1282.639,1372.7,1540.5,1758.6,1744.5,1821.8,1742,1860.4,1942.2,1836.3,1095.3,1205.1,1452.7,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,AZS AU Equity,AZURE MINERALS LTD,AUD,#N/A,#N/A,16.4401,12.3545,3.0095,0.636,1.2994,2.0884,6.1679,6.1758,2.4173,4.6395,5.298,7.5283,15.5815,16.5041,15.0154,6.2569,6.4922,44.7632,25.8272,30.9979,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,BOE AU Equity,BOSS ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,3.2821,10.0019,3.1831,1.2786,27.9696,18.9887,8.0338,7.3886,6.295,9.7065,11.5787,16.9028,16.1224,12.065,85.4596,236.5669,236.5669,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,MP1 AU Equity,MEGAPORT LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.17,30.2232,80.2036,110.59,210.969,180.412,142.248,127.927,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,MAQ AU Equity,MACQUARIE TECHNOLOGY GROUP L,AUD,68.938,63.603,62.771,54.088,48.307,44.486,43.338,50.824,69.195,76.593,91.325,97.606,91.791,87.506,82.426,86.431,93.355,106.711,122.141,136.38,145.682,318.975,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,GUD AU Equity,G.U.D. HOLDINGS LTD,AUD,121.737,126.814,142.642,134.277,43.002,139.275,120.09,131.116,218.118,257.644,273.659,239.103,209.275,356.158,274.641,200.914,265.322,278.639,274.785,388.784,847.368,889.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,UMG AU Equity,UNITED MALT GRP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1031.3,1061.7,1092.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,GOZ AU Equity,GROWTHPOINT PROPERTIES AUSTR,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,329.851,337.504,116.61,324.003,478.564,733.242,804.139,1165.074,1411.517,1522.412,1901.481,2156.973,2546.5,2822.6,3221.4,3519.9,3054.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,HMC AU Equity,HMC CAPITAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,729.5,710.979,846.002,1200.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,CGC AU Equity,COSTA GROUP HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,144.7232,191.814,197.437,359.595,396.178,463,576.756,616.562,827.958,815.561,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,CDA AU Equity,CODAN LTD,AUD,25.168,32.956,61.286,68.578,69.234,70.523,62.044,63.972,65.046,71.879,79.409,124.732,120.291,128.355,138.922,164.995,188.065,211.214,247.343,303.61,367.956,406.335,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,KAR AU Equity,KAROON ENERGY LTD,AUD,#N/A,#N/A,4.5786,16.2164,33.1099,81.1755,130.7421,334.6588,361.7036,617.8673,600.5999,599.8409,766.4739,958.5056,857.9627,758.8922,555.2257,426.1594,523.1918,507.2029,399.5964,710.1514,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,WPR AU Equity,WAYPOINT REIT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1429.693,1589.455,1594.659,1782.912,1953.2,2128.3,2028.4,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,IFL AU Equity,INSIGNIA FINANCIAL LTD,AUD,#N/A,164.378,248.704,175.443,187.127,189.905,232.578,887.637,886.954,901.978,827.322,816.551,813.34,1372.258,1399.7,1360.448,1812.687,1656.857,1743.263,2493,2400.9,2329.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
