Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
314,CGL AU Equity,CITADEL GROUP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,181.0068,252.4189,243.7835,322.6267,226.5934,156.1524,#N/A
315,CL1 AU Equity,CLASS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,385.5069,352.5475,282.3889,173.5651,163.8825,#N/A
316,BYE AU Equity,BYRON ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.0341,52.8108,96.7896,44.1645,30.5573,26.3575,243.1704,201.6583,110.9725,#N/A
317,PPE AU Equity,PEOPLE INFRASTRUCTURE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,103.07,241.8295,179.294,#N/A
318,OTW AU Equity,OVER THE WIRE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95.265,91.4151,145.6334,253.0899,178.5429,#N/A
319,FRI AU Equity,FINBAR GROUP LTD,AUD,25.7592,23.8974,20.639499999999998,24.229,24.2289,39.4946,107.9928,106.7669,87.1352,112.6534,162.5418,204.6217,230.2358,273.5977,370.0397,272.7123,192.2237,185.1432,259.9392,228.5834,190.4862,#N/A
320,CYL AU Equity,CATALYST METALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.7987,5.4701,1.8847,2.7502,15.4398,25.3392,15.5275,16.0965,21.3762,32.2901,29.4099,104.6909,154.6292,226.599,#N/A
321,NET AU Equity,NETLINKZ LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.0757,7.0757,2.1101,65.459,140.0837,37.0793,37.0793,43.1783,256.0176,116.9932,#N/A
322,SDG AU Equity,SUNLAND GROUP LTD,AUD,90.068,56.3754,96.9057,108.9664,223.1581,373.7087,547.654,1302.4678,733.4872,213.0501,168.3108,136.1093,179.6313,262.9803,277.905,317.9874,226.8667,271.2999,269.7466,233.7112,153.4209,#N/A
323,SO4 AU Equity,SALT LAKE POTASH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,216.3356,53.5216,31.8362,47.6919,71.5147,21.3621,12.909,4.1024,15.8704,45.5014,72.6282,99.7783,176.4993,183.7086,#N/A
