Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
385,MOC AU Equity,MORTGAGE CHOICE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,137.5835,299.8616,371.5939,94.384,116.1,131.9154,144.9902,152.6416,259.2397,349.8025,282.9756,240.9645,266.0751,173.9462,135.3225,80.7392,#N/A
386,HZN AU Equity,HORIZON OIL LTD,AUD,16.0864,29.5368,37.9534,23.495,25.7541,56.0701,225.6688,270.3361,315.6097,202.6119,343.6196,378.8219,322.2813,368.9616,455.6934,114.5744,61.1931,54.7462,195.5221,136.8655,79.5123,#N/A
387,NTU AU Equity,NORTHERN MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.0689,17.9953,8.1527,6.9535,126.4657,53.0893,32.3425,79.2725,74.0199,36.8638,77.9783,100.3339,156.227,71.7674,#N/A
388,EGG AU Equity,ENERO GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,100.5251,169.1764,258.842,456.369,228.2363,168.6583,191.1895,61.6351,42.8025,29.1057,91.5973,66.7719,104.758,86.5531,90.7413,121.559,120.5048,#N/A
389,GGG AU Equity,GREENLAND MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.3461,65.2894,127.3859,79.7558,344.9632,189.4577,153.343,117.7873,48.8655,21.2681,68.9396,107.2093,79.2854,154.8277,#N/A,#N/A
390,RMY AU Equity,RMA GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.5593,99.3589,#N/A
391,CLQ AU Equity,CLEAN TEQ HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.3639,19.5087,16.4368,3.8830999999999998,18.6747,15.0983,12.3252,86.6599,187.9324,383.2171,597.92,282.2479,104.5044,#N/A
392,88E AU Equity,88 ENERGY LTD,AUD,9.7564,9.938,0.4041,0.4041,0.4041,8.1565,13.7032,10.3335,0.9262,2.1373,20.4821,52.6459,39.1289,41.0261,4.5174,24.6571,187.6131,120.8939,110.802,151.1739,#N/A,#N/A
393,COI AU Equity,COMET RIDGE LTD,AUD,#N/A,#N/A,#N/A,#N/A,6.7274,6.7274,22.9867,26.2187,17.387,89.1318,46.1027,32.2719,32.2719,89.4297,68.7898,31.572,28.9438,80.3065,243.5944,189.2479,72.588,#N/A
394,PGC AU Equity,PARAGON CARE LTD,AUD,19.32,3.875,2.1324,1.365,1.365,5.6572,6.004,1.579,2.5521000000000003,4.8726,6.2255,10.0701,6.2969,13.2091,16.9467,39.8595,111.9542,126.2388,129.4673,84.128,38.5164,#N/A
395,CDV AU Equity,CARDINAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6714,3.6677999999999997,1.5405,5.541,66.6224,185.5334,160.6323,130.1741,310.0152,#N/A
396,PBP AU Equity,PROBIOTEC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.83,62.9133,98.8916,69.1407,18.7899,14.0263,14.8202,21.9657,10.8505,26.994,22.7596,71.9088,97.1904,144.3232,#N/A
397,LTR AU Equity,LIONTOWN RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19.75,8.1765,4.68,9.4533,9.0762,17.0428,4.3097,15.1695,4.6077,13.2326,8.9131,30.9116,153.2885,179.6849,#N/A
398,AVG AU Equity,AUSTRALIAN VINTAGE LTD,AUD,132.3111,153.8996,437.8332,385.0002,512.4562,448.6734,300.1476,276.0125,148.429,18.6339,27.0019,36.0025,44.8779,63.0423,74.324,84.7758,131.2282,117.1165,151.4221,135.4416,115.0903,#N/A
399,GSS AU Equity,GENETIC SIGNATURES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.4675,38.6208,40.6703,38.4515,140.4465,310.892,#N/A
400,DTC AU Equity,DAMSTRA HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,182.7222,#N/A
401,SXE AU Equity,SOUTHERN CROSS ELECTRICAL,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,146.4,113.4,130.3879,135.0189,193.7842,134.0642,77.5311,47.4631,89.2786,92.4671,113.9896,126.3964,108.9504,#N/A
402,ONT AU Equity,1300 SMILES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,20.7452,39.6044,61.7824,52.154,52.8853,66.5268,76.4925,141.8335,140.4128,141.1232,163.3808,169.3004,158.4084,151.5417,150.3577,122.1805,#N/A
403,BLY AU Equity,BOART LONGYEAR LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3531.6881,299.5248,1628.0087,2081.0016,1266.9989,852.5815,175.9277,107.7911,56.6728,117.5731,262.898,105.1849,142.3911,#N/A,#N/A
404,TGN AU Equity,TUNGSTEN MINING NL,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.229800000000001,8.2676,8.5061,10.5461,9.887,320.4445,174.9342,80.8935,#N/A
405,RND AU Equity,RAND MINING LTD,AUD,6.2673,39.3768,41.3219,24.8697,14.1565,8.9234,10.7486,15.4473,16.6668,13.4148,23.1197,35.2879,23.7281,21.2944,33.7669,120.297,132.3266,180.4454,162.4009,197.287,123.9059,#N/A
406,WGO AU Equity,WARREGO ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.15,13.02,7.52,5.796,12.1561,35.5966,77.5634,20.8284,8.994,38.4554,0.0058,53.014,136.6757,#N/A
407,CCV AU Equity,CASH CONVERTERS INTL LTD,AUD,9.5058,3.6212999999999997,5.3751999999999995,10.1459,29.9369,40.1941,65.7722,168.2182,54.8977,100.8041,208.8686,275.3267,244.9459,453.5313,463.197,336.8738,210.9646,155.3099,155.3099,100.1712,107.8766,#N/A
408,DWS AU Equity,DWS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,138.075,328.75,137.5544,110.1463,190.3158,174.7188,193.9114,190.6024,153.5408,77.1213,147.6511,197.747,166.1075,154.2427,106.7834,#N/A
409,IMU AU Equity,IMUGENE LTD,AUD,19.0516,19.0516,2.5543,19.4177,22.7048,16.9753,13.7109,31.992,10.0546,9.7673,4.8837,4.3091,1.1491,1.5047000000000001,12.3053,14.629,13.857099999999999,30.7481,84.0759,58.0589,137.2051,#N/A
410,EWC AU Equity,ENERGY WORLD CORP LTD,AUD,40.1065,68.1621,36.6078,17.5372,15.0319,31.734,27.0032,1488.4133,1834.37,983.535,585.4375,780.5833,641.6417,676.325,554.9333,632.9708,320.8208,658.9833,305.2574,105.9423,109.5335,#N/A
411,RDY AU Equity,READYTECH HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123.2083,112.0075,#N/A
412,CMP AU Equity,COMPUMEDICS LTD,AUD,#N/A,106.4,44.1,49.7,37.8,31.5,8.82,21.3764,23.7111,22.3826,21.0578,13.2826,10.3669,9.1787,24.1983,45.059,61.6228,112.4985,99.2113,108.0694,73.5226,#N/A
413,COG AU Equity,CONSOLIDATED OPERATIONS GROU,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,169.1585,129.5967,128.7645,88.0172,#N/A
414,EXP AU Equity,EXPERIENCE CO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91.0562,202.1137,286.5888,323.8451,130.6158,69.3172,#N/A
415,CSV AU Equity,CSG LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,229.6374,167.5647,147.6138,445.3908,282.5675,221.8155,260.0754,287.2057,453.2174,475.4242,239.05,77.8799,77.5274,#N/A,#N/A
416,PO3 AU Equity,PURIFLOH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51.3417,7.5786999999999995,6.5767,1.708,4.1773,4.1773,8.3545,4.1773,11.8709,105.1329,91.4181,#N/A
417,PAL AU Equity,PALLA PHARMA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,195.5079,153.7317,178.3883,93.2484,132.8751,#N/A,#N/A
418,JRV AU Equity,JERVOIS MINING LTD,AUD,6.0892,7.288,11.3187,4.5456,2.8,20.0567,15.5558,43.3619,57.8286,20.7505,9.3842,10.4949,7.1892,1.3145,1.9718,3.2862999999999998,5.4940999999999995,8.2172,90.5128,90.5128,102.7603,#N/A
419,BOC AU Equity,BOUGAINVILLE COPPER LTD,AUD,52.1382,56.2588,51.769,96.2551,96.2551,258.6853,258.6853,597.5831,272.7225,212.5631,677.7957,278.8104,206.5472,184.0395,102.0079,96.255,80.2125,108.2869,64.1427,130.3453,#N/A,#N/A
420,REX AU Equity,REGIONAL EXPRESS HOLDINGS LT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,114.425,332.75,124.161,90.7168,113.4665,93.7087,117.2459,123.8513,82.6163,114.5612,84.8194,122.2721,157.5216,155.8693,130.5337,#N/A
421,MTO AU Equity,MOTORCYCLE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,102.0855,149.523,203.6321,70.3456,112.9233,#N/A
422,ANG AU Equity,AUSTIN ENGINEERING LTD,AUD,#N/A,#N/A,#N/A,#N/A,10.3547,11.1457,16.3204,79.183,98.2112,82.6215,235.671,347.8266,310.9545,230.4698,135.2598,45.8556,44.2036,127.3434,133.1318,104.1901,69.4807,#N/A
423,ICQ AU Equity,ICAR ASIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.8811,168.047,237.3689,237.9987,80.2388,75.5552,49.746,127.329,#N/A,#N/A
424,KPT AU Equity,KANGAROO ISLAND PLANTATION T,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.9446,12.4909,27.5021,82.9759,109.4297,126.1834,45.171,#N/A
425,M7T AU Equity,MACH7 TECHNOLOGIES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.3512,38.9999,6.5173,4.8832,4.8832,6.3433,2.7752,1.5857999999999999,4.2793,43.2347,34.785,20.6933,27.6585,70.6053,211.0544,#N/A
426,TTT AU Equity,TITOMIC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,331.8252,248.6584,91.9498,#N/A
427,CUP AU Equity,COUNTPLUS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136.0791,139.8579,198.2266,195.9293,123.946,82.1785,65.678,75.3869,89.4311,97.4326,#N/A
428,SGH AU Equity,SLATER & GORDON LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,183.7643,153.233,203.613,184.0174,355.9196,320.7094,561.3393,1067.9547,1251.5295,137.4274,28.1269,133.4923,107.0719,85.8259,#N/A
429,GNG AU Equity,GR ENGINEERING SERVICES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,292.5,135,69,105.2856,135.6593,150.5782,225.2823,213.2895,122.8986,110.6294,#N/A
430,CGR AU Equity,CML GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.5095,5.5514,6.5578,6.2456,15.3016,16.9088,24.0685,40.5812,114.5939,91.6274,51.1294,#N/A
431,ARA AU Equity,ARIADNE AUSTRALIA LTD,AUD,97.8883,57.1777,46.9124,58.4505,68.6084,75.3927,93.5781,162.5542,84.8469,51.2349,49.1855,62.336,70.5113,57.2265,72.5551,77.4371,68.3664,152.9331,130.7833,123.0577,76.5345,#N/A
432,POS AU Equity,POSEIDON NICKEL LTD,AUD,5.4208,1.9552,2.451,1.2569,10.5234,35.728,68.0773,154.4878,213.9606,39.331,32.6508,33.2182,40.7064,53.2013,41.0774,79.7344,44.2292,17.3223,17.3223,92.4946,73.9957,#N/A
433,AJM AU Equity,ALTURA MINING LTD,AUD,#N/A,7.9535,7.8652999999999995,3.5961,5.3941,11.9813,8.3581,23.6428,64.466,21.0755,27.3493,60.3562,79.4976,40.8845,63.5981,19.2666,232.2674,192.7098,566.6437,219.9091,#N/A,#N/A
434,3PL AU Equity,3P LEARNING LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,299.2885,102.1901,145.3952,174.0427,136.5475,119.7414,#N/A
435,MSV AU Equity,MITCHELL SERVICES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.375,2.5,8.7,19.074,24.1124,48.5595,67.6637,102.363,106.5927,#N/A
436,HAS AU Equity,HASTINGS TECHNOLOGY METALS L,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.48,6.16,11.2628,13.7475,14.241,6.8376,12.964,30.7168,34.5886,47.8944,160.0904,137.5743,118.9846,#N/A
437,DCG AU Equity,DECMIL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41.8352,79.7078,24.9365,80.4381,187.8029,342.8322,442.8621,299.4017,301.0542,194.0614,121.4729,159.7151,168.5976,215.6707,72.0787,#N/A
438,EEG AU Equity,EMPIRE ENERGY GROUP LTD,AUD,20.4316,8.2049,6.054,1.5604,3.6968,2.7725999999999997,23.3642,26.3222,28.0213,12.8438,13.3078,30.2376,44.2052,30.2686,11.3986,11.3986,2.7785,13.3288,1.4071,45.178,#N/A,#N/A
439,A4N AU Equity,ALPHA HPA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.8925,2.3002000000000002,19.7501,33.3537,6.7331,2.6687,9.4745,3.1582,4.1056,9.588,50.319,65.2165,119.0658,#N/A
440,MRC AU Equity,MINERAL COMMODITIES LTD,AUD,6.058,3.7732,5.5975,13.4914,10.7506,13.538499999999999,13.3045,23.2834,6.5041,6.4527,11.6149,11.3172,27.1268,74.9143,44.4127,38.1634,52.3288,53.9424,71.5856,115.8277,#N/A,#N/A
441,TLG AU Equity,TALGA RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.588,13.4421,4.1478,48.580799999999996,54.6507,54.5565,121.4453,138.8472,106.0969,141.3567,#N/A
442,AYS AU Equity,AMAYSIM AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,301.0465,324.5037,223.4404,218.3817,174.1151,#N/A
443,PNC AU Equity,PIONEER CREDIT LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.0589,71.9584,84.7209,140.3015,191.3489,168.4008,18.2347,#N/A
444,G1A AU Equity,GALENA MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.8988,134.8735,92.7372,#N/A
445,CXL AU Equity,CALIX LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81.7105,112.7385,#N/A
446,BCN AU Equity,BEACON MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13.1619,4.7612,4.998,11.8376,6.9655000000000005,5.9704,4.1793,4.4803,4.4803,5.9818999999999996,32.9004,34.2373,72.8708,114.5032,#N/A
447,ELX AU Equity,ELLEX MEDICAL LASERS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
448,LNG AU Equity,LIQUEFIED NATURAL GAS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,36.27,94.0241,75.2513,107.9142,76.9261,66.1351,75.0572,87.0022,32.1239,955.4651,1916.7851,362.8639,284.7039,330.6849,134.3759,#N/A,#N/A
449,CSD AU Equity,CONSOLIDATED TIN MINES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0708,1.7978,1.9083,10.3408,8.2011,9.2882,12.0295,17.3458,22.2493,22.2493,22.2493,22.2493,#N/A,#N/A
450,OBM AU Equity,ORA BANDA MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,10.289,8.3211,59.5825,127.9105,58.7017,58.7017,58.7017,58.7017,58.7017,58.7017,58.7017,58.7017,212.4621,207.1179,91.4142,77.7152,159.3769,#N/A
451,VAN AU Equity,VANGO MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,39.8665,10.5529,91.9583,24.7794,8.1679,13.6398,47.0417,9.0337,2.8685,3.7345,1.3197999999999999,19.1548,25.1981,111.3249,103.6893,83.1395,#N/A
452,OSL AU Equity,ONCOSIL MEDICAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.3293,7.9665,5.1738,2.127,2.0695,3.8792,2.1338,10.4055,35.5148,35.6162,65.0238,47.2832,143.5565,33.4276,95.2891,#N/A
453,CYP AU Equity,CYNATA THERAPEUTICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0685,3.0514,7.2678,4.018,2.0261,5.0522,21.9837,61.116,22.5488,54.9349,130.2408,126.8469,71.4456,#N/A
454,BDC AU Equity,BARDOC GOLD LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.7841,10.8523,10.3512,22.3598,12.3504,3.0613,2.5511,2.5511,4.5017,23.1772,46.203,64.994,115.8444,#N/A
455,EVS AU Equity,ENVIROSUITE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.7738,28.7738,11.9914,3.3333,2.9409,4.7341999999999995,6.146,10.9007,13.3497,14.4429,11.7776,42.5733,89.885,#N/A
456,LAU AU Equity,LINDSAY AUSTRALIA LTD,AUD,5.1925,4.355,4.355,22.6512,33.8423,20.1029,22.7108,38.0404,27.0643,30.6777,33.7159,38.82,36.9875,38.5031,86.1796,127.7934,137.7191,109.534,111.7782,102.4155,104.7515,#N/A
457,ISU AU Equity,ISELECT LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,455.5126,300.0234,376.5454,325.5549,479.3539,177.341,133.9848,44.6616,#N/A
458,SVL AU Equity,SILVER MINES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.255,4.345,1.9033,6.3054,29.7232,8.025,2.3724,3.6029,2.0788,57.8809,48.7874,19.9992,36.2962,106.0631,#N/A
459,SPX AU Equity,SPECTRUM METALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.219,5.8438,5.5516,6.5682,27.3673,15.0476,4.3961,7.5222999999999995,1.0603,1.537,2.8824,6.3686,29.0838,#N/A,#N/A
460,BID AU Equity,BIDENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.1662,4.6187000000000005,0.3925,0.3925,3.9792,3.9792,7.2565,39.2559,84.1904,80.3912,#N/A
461,GAS AU Equity,STATE GAS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19.6086,93.2258,53.6355,#N/A
462,NMT AU Equity,NEOMETALS LTD,AUD,#N/A,#N/A,#N/A,8.955,14.88,15.4,42.0525,45.1128,139.5135,33.036,106.3629,132.4298,94.8538,18.7491,9.4222,45.7014,251.5902,147.4472,163.0597,114.2346,87.1227,#N/A
463,GRB AU Equity,GAGE ROADS BREWING CO,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.1369,4.9432,20.5798,20.6665,18.302599999999998,18.7638,75.2651,57.3232,15.0226,21.7429,30.9403,93.8626,102.882,66.15,#N/A
464,ORR AU Equity,ORECORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.9217,10.2072,6.4645,5.6706,53.758,82.2369,38.9543,47.830799999999996,126.7693,#N/A
465,ZNO AU Equity,ZOONO GROUP LTD,AUD,9.9125,4.9387,5.8387,3.6492,6.2036,4.2138,9.0689,28.0156,22.0331,7.7227,7.7231,9.5619,5.151,4.1618,1.3873,0.8179,0.6144,26.897,21.1915,15.5147,425.393,#N/A
466,TNG AU Equity,TNG LTD,AUD,13.2354,10.7856,8.5565,8.2891,5.3478,19.085,20.1258,197.5703,17.5342,10.5803,11.3544,20.221,27.6666,22.8185,102.4897,102.4436,97.7305,116.6546,103.9817,112.4544,69.7218,#N/A
467,SFX AU Equity,SHEFFIELD RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.8378,32.2513,43.1786,114.7117,64.5268,60.4398,96.1202,179.7572,93.7999,38.9744,#N/A
468,NWF AU Equity,NEWFIELD RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.6388,25.6388,40.81,163.8342,89.1054,82.4542,98.8209,124.9794,116.2599,#N/A
469,WJA AU Equity,WAMEJA LTD,AUD,#N/A,57.7885,26.336,10.5344,25.8093,101.016,101.8457,164.9739,140.2279,89.5657,118.1086,142.7146,39.3695,128.2587,168.2829,31.8929,64.0184,165.1409,96.8681,101.7115,#N/A,#N/A
470,AML AU Equity,AEON METALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.235,12.0167,4.6865,35.4263,42.0564,10.3919,36.5505,36.7088,23.7882,27.9482,53.914,208.019,128.9132,57.5935,#N/A
471,IMM AU Equity,IMMUTEP LTD,AUD,3.2957,3.2957,18.2605,13.6355,12.8935,16.5115,11.6576,5.1494,3.0508,21.0287,73.4199,284.4945,122.5973,77.734,49.1484,110.3442,84.5269,58.2328,93.8086,84.715,75.5828,#N/A
472,MAU AU Equity,MAGNETIC RESOURCES NL,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.21,1.9647999999999999,4.2028,25.2399,10.1276,5.0349,7.6098,14.498,7.8349,6.6895,9.9077,21.2851,84.8513,269.9875,#N/A
473,CYG AU Equity,COVENTRY GROUP LTD,AUD,123.7418,126.6525,117.1958,117.1958,200.7235,205.7202,150.99,177.327,75.2655,35.8595,73.828,91.9931,100.2628,101.952,106.9516,56.754,39.917,22.6519,50.6431,34.1372,53.869,#N/A
474,SDI AU Equity,SDI LTD,AUD,10.0332,16.5664,68.4507,135.8901,205.0888,88.2606,74.0084,56.1585,20.1579,26.6796,21.3437,20.8015,12.4809,121.2428,51.1122,59.4328,61.8101,68.942,61.2157,105.196,83.8002,#N/A
475,AVZ AU Equity,AVZ MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.4385,4.5518,4.7818000000000005,12.0867,3.1644,1.8205,2.1415,3.9031000000000002,6.7306,51.6063,196.1885,116.6471,147.6019,#N/A
476,OVH AU Equity,ONEVUE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.8345,116.8606,158.0027,211.4702,109.8313,99.1341,#N/A
477,TRS AU Equity,REJECT SHOP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,47.9095,74.9841,151.8798,327.7222,244.2288,300.0013,426.4778,303.5514,238.5512,495.2138,254.2475,155.7611,358.8868,120.0557,163.9222,52.9019,284.7976,#N/A
478,CTP AU Equity,CENTRAL PETROLEUM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.3946,28.1403,66.8617,45.1396,56.2519,51.0795,128.654,105.1258,111.5901,51.6207,42.4534,58.481700000000004,102.5269,96.303,58.5864,#N/A
479,MYE AU Equity,MASTERMYNE GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.2663,104.1819,158.2718,52.7573,34.3605,14.574,10.0196,28.2371,109.1745,94.5489,66.4839,#N/A
480,RHT AU Equity,RESONANCE HEALTH LTD,AUD,37.6948,37.6948,37.6948,2.1711,6.3634,28.2092,4.8534,5.7440999999999995,3.7500999999999998,5.0409,6.1273,6.1369,4.3319,3.6099,15.4617,16.8658,6.8396,9.6599,9.6599,44.3622,67.8615,#N/A
481,ARU AU Equity,ARAFURA RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,6.3738,8.0876,27.2804,205.4582,130.4714,155.0642,122.0689,268.6256,89.1009,35.7429,25.5937,22.5048,21.181,30.6262,50.6665,82.0473,66.5645,#N/A
482,ZEN AU Equity,ZENITH ENERGY LTD/AU,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.49,92.61,71.67,#N/A,#N/A
483,KCN AU Equity,KINGSGATE CONSOLIDATED LTD,AUD,41.6311,54.4974,179.1225,214.2349,299.5048,244.0945,455.3605,514.3762,484.7185,644.1138,946.9601,1082.1986,733.6294,192.5228,192.283,155.3915,155.3915,44.717,63.3433,55.4254,88.7415,#N/A
