Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,
101,BRG AU Equity,BREVILLE GROUP LTD,AUD,0.77,0.82,1.95,2.06,2.15,1.6,1.38,3,1.05,0.92,2.14,3.3,4.38,7.06,8.11,6.21,7.49,10.45,11.62,16.36,22.76,#N/A,,,,,,
102,NXT AU Equity,NEXTDC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.7,1.79,2.67,1.705,2.38,3.5,4.51,7.5600000000000005,6.49,9.88,#N/A,,,,,,
103,ABC AU Equity,ADELAIDE BRIGHTON LTD,AUD,0.4,0.75,1.17,1.5,1.7,2.1,2.81,3.48,2.1,2.75,3.3,2.89,3.12,3.67,3.57,4.75,5.43,6.52,4.27,3.46,#N/A,#N/A,,,,,,
104,CSR AU Equity,CSR LTD,AUD,3.46,5.21,6.59,1.6,1.94,2.46,4.46,3.41,3.2,1.2,1.655,3.2800000000000002,1.8,2.06,3.51,4.03,3.3,4.51,5.18,3.32,3.17,#N/A,,,,,,
105,CTD AU Equity,CORPORATE TRAVEL MANAGEMENT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.95,1.94,4.1,6.42,10.31,14,22.94,27.3,22.5,9.69,#N/A,,,,,,
106,RRL AU Equity,REGIS RESOURCES LTD,AUD,0.35,0.04,0.15,0.065,0.07,0.1,0.115,0.105,0.22,0.51,0.895,2.48,3.91,2.89,1.6400000000000001,1.08,3.42,3.7800000000000002,5.12,5.28,5.22,#N/A,,,,,,
107,NUF AU Equity,NUFARM LTD,AUD,3.4,2.85,3.35,4.39,6.09,10.15,8.8,13.1,16.85,10.84,3.82,4.34,5.47,4.5,4.35,7.72,8.28,8.46,7.15,4.88,4.02,#N/A,,,,,,
108,EVT AU Equity,EVENT HOSPITALITY AND ENTERT,AUD,2.6,1.95,2.4,2.37,3.37,4.3,4.87,6.45,4.87,4.3,5.7,5.8,6.45,8.27,9.33,12.54,14.53,13.37,13.39,12.5,8.41,#N/A,,,,,,
109,SGM AU Equity,SIMS LTD,AUD,5.43,5.74,6.77,8.8,11.46,14.84,20,26.5,41.69,26.51,17.11,17.65,9.61,8.26,9.68,10.42,7.82,15.18,16.08,10.86,7.93,#N/A,,,,,,
110,DHG AU Equity,DOMAIN HOLDINGS AUSTRALIA LT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.22,3.18,3.35,#N/A,,,,,,
111,SUL AU Equity,SUPER RETAIL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,2.89,1.5899999999999999,4.3,2.38,3.7,5.4,6.9,7.19,11.97,8.48,9.4,8.83,8.2,8.1,8.23,8.14,#N/A,,,,,,
112,PPT AU Equity,PERPETUAL LTD,AUD,25.97,40.914,42.9,30.7,46.99,57.43,73.15,78.51,42.77,28.55,28.26,24.93,22.9,35.4,47.38,48.36,41.12,55.87,41.6,42.24,29.67,#N/A,,,,,,
113,NAN AU Equity,NANOSONICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.64,0.2,0.4,0.53,0.765,0.51,0.605,0.79,1.7,2.19,2.54,3.16,5.62,6.82,#N/A,,,,,,
114,SBM AU Equity,ST BARBARA LTD,AUD,0.12,0.165,0.205,0.04,0.048,0.1,0.57,0.49,0.365,0.23,0.35,1.955,1.77,0.45,0.115,0.57,2.95,2.91,4.83,2.94,3.15,#N/A,,,,,,
115,BIN AU Equity,BINGO INDUSTRIES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.85,2.68,2.26,2.15,#N/A,,,,,,
116,BAP AU Equity,BAPCOR LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.12,3.4,5.52,5.49,6.55,5.58,5.9,#N/A,,,,,,
117,VOC AU Equity,VOCUS GROUP LTD,AUD,0.385,0.37,0.35,0.295,0.45,0.36,0.49,0.55,0.51,0.45,0.6,2.42,1.855,2.1,4.76,5.77,8.52,3.37,2.31,3.27,2.95,#N/A,,,,,,
118,WEB AU Equity,WEBJET LTD,AUD,0.115,0.052,0.105,0.037,0.033,0.17,0.3,1.26,1.35,1.32,1.88,1.995,3.38,4.45,2.42,2.99,7.09,12.35,13.45,13.6,3.32,#N/A,,,,,,
119,IPH AU Equity,IPH LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.7,6.42,4.8,4.45,7.46,7.46,#N/A,,,,,,
120,TYR AU Equity,TYRO PAYMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.5,#N/A,,,,,,
121,GNC AU Equity,GRAINCORP LTD-A,AUD,9.18,10.6,9.77,13.1,12.45,11.3,8,9.8,7.5,9.03,7.24,7.2,8.96,12.35,8.55,9.05,7.85,8.16,7.9,7.91,#N/A,#N/A,,,,,,
122,HLS AU Equity,HEALIUS LTD,AUD,5.75,4.55,4.01,4.15,5.68,9.1,11.9,12.7,5.2,5.25,3.56,3.43,2.95,4.78,4.54,5.04,3.95,3.64,3.49,3.02,3.05,#N/A,,,,,,
123,NHC AU Equity,NEW HOPE CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,1.1400000000000001,1.295,1.28,2.13,4.6899999999999995,5.34,4.71,5.37,4.07,3.76,3,1.9100000000000001,1.6,1.6,3.19,2.51,1.31,#N/A,,,,,,
124,CCP AU Equity,CREDIT CORP GROUP LTD,AUD,#N/A,0.51,0.75,0.89,2.2,3,7.1,12.3,0.78,1.205,2.67,4.75,5.79,9.4,8.7,12.17,12.01,17.71,18.07,26.52,15.58,#N/A,,,,,,
125,HTA AU Equity,HUTCHISON TELECOMM (AUST),AUD,1.38,0.67,0.28,0.3,0.36,0.28,0.235,0.19,0.081,0.12,0.099,0.056,0.03,0.085,0.06,0.081,0.076,0.065,0.11,0.12,#N/A,#N/A,,,,,,
126,LYC AU Equity,LYNAS CORP LTD,AUD,0.19,0.145,0.24,0.165,0.4,0.145,0.28,1.305,1.3,0.465,0.545,1.98,0.845,0.375,0.13,0.034,0.053,0.105,2.34,2.57,1.935,#N/A,,,,,,
127,MND AU Equity,MONADELPHOUS GROUP LTD,AUD,2.9,2.01,2.55,3.79,5.7,3.39,6.2,14.57,13.14,11.9,12.74,18.4,21.86,16.14,15.71,9.37,7.46,13.99,15.06,18.81,10.82,#N/A,,,,,,
128,IVC AU Equity,INVOCARE LTD,AUD,#N/A,#N/A,#N/A,2.14,3.35,4.19,5.57,7.01,5.15,6.16,7.28,7.7,8.78,11.04,12.1,12.01,13.87,16.1,10.3,13.19,#N/A,#N/A,,,,,,
129,MP1 AU Equity,MEGAPORT LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.9,2.2800000000000002,3.95,6.53,12.08,#N/A,,,,,,
130,GMA AU Equity,GENWORTH MORTGAGE INSURANCE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.64,2.76,3.27,3,2.19,3.65,#N/A,#N/A,,,,,,
131,ARB AU Equity,ARB CORP LTD,AUD,5.1,8.75,13.75,2.6,3.5300000000000002,3.05,3.15,4.3,3.85,3.55,5.7,7.57,9.1,11.4,12.24,13.03,16.74,15.71,22.83,18.2,17.95,#N/A,,,,,,
132,EML AU Equity,EML PAYMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.185,0.065,0.032,0.045,0.17,0.1,0.31,0.64,0.57,1.27,1.615,1.41,2.96,3.34,#N/A,,,,,,
133,BKL AU Equity,BLACKMORES LTD,AUD,5.8,6.5,6.62,6.32,10,12.95,13.9,20.56,16.4,16,22.3,26.7,26.25,26.94,27.2,75.27,131.39,95.84,142.5,89.91,77.95,#N/A,,,,,,
134,CUV AU Equity,CLINUVEL PHARMACEUTICALS LTD,AUD,#N/A,0.067,0.11,0.27,0.92,0.34,0.37,0.92,0.31,0.28,0.225,1.655,1.5899999999999999,1.81,1.7,2.84,4.32,6.98,11.01,33.68,25.65,#N/A,,,,,,
135,FNP AU Equity,FREEDOM FOODS GROUP LTD,AUD,1.2,0.6,0.8,0.75,0.49,0.4,0.51,0.48,0.5,0.3,0.28,0.34,0.6,1.65,2.76,2.96,4.06,4.8,6.73,5.08,#N/A,#N/A,,,,,,
136,Z1P AU Equity,ZIP CO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,0.094,0.067,0.03,0.006,0.022,0.62,0.65,0.865,3.31,5.23,#N/A,,,,,,
137,NWH AU Equity,NRW HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.95,0.95,0.98,2.79,3.02,0.91,0.92,0.185,0.21,0.645,1.6949999999999998,2.51,1.865,#N/A,,,,,,
138,AVH AU Equity,AVITA MEDICAL LTD,AUD,0.05,0.13,0.16,0.19,0.51,0.355,0.11,0.038,0.099,0.1,0.115,0.11,0.185,0.13,0.1,0.072,0.092,0.077,0.069,0.42,9,#N/A,,,,,,
139,ASB AU Equity,AUSTAL LTD,AUD,2.3,1,1.31,0.9,1.25,1.85,2.99,3.75,2.57,2.79,2.19,2.7800000000000002,1.62,0.755,1.28,1.845,1.21,1.83,1.8599999999999999,3.41,3.23,#N/A,,,,,,
140,PRU AU Equity,PERSEUS MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.155,0.48,1.16,1.19,0.73,2.3,2.62,2.48,0.435,0.415,0.43,0.52,0.29,0.43,0.585,1.31,#N/A,,,,,,
141,CDA AU Equity,CODAN LTD,AUD,#N/A,#N/A,#N/A,#N/A,1.8,1.4,0.92,0.94,0.6,0.64,1.46,1.2,1.4,1.5150000000000001,0.745,1.15,1.18,2.34,3,3.4699999999999998,7.09,#N/A,,,,,,
142,LOV AU Equity,LOVISA HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.5,2.2800000000000002,3.69,11.7,11.36,5.95,#N/A,,,,,,
143,UOS AU Equity,UNITED OVERSEAS AUSTRALIA,AUD,0.61,0.45,0.3,0.39,1.4,1.35,1.94,0.32,0.135,0.285,0.32,0.395,0.4,0.57,0.5,0.5,0.63,0.64,0.68,0.88,#N/A,#N/A,,,,,,
144,PNV AU Equity,POLYNOVO LTD,AUD,0.51,0.8,0.72,0.68,0.95,0.615,0.39,0.13,0.042,0.027,0.025,0.065,0.06,0.07,0.105,0.09,0.28,0.21,0.535,1.54,2.54,#N/A,,,,,,
145,VAH AU Equity,VIRGIN AUSTRALIA HOLDINGS LT,AUD,#N/A,#N/A,#N/A,#N/A,2.36,1.5699999999999998,1.505,2.46,0.47,0.315,0.295,0.28,0.39,0.425,0.43,0.43,0.205,0.16,0.22,0.17,#N/A,#N/A,,,,,,
146,BVS AU Equity,BRAVURA SOLUTIONS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6,3.21,4.86,4.5,#N/A,,,,,,
147,ING AU Equity,INGHAMS GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.37,3.82,4.02,3.2,#N/A,,,,,,
148,ZIM AU Equity,ZIMPLATS HOLDINGS LTD,AUD,0.203,0.92,1.6,4.17,3.8,2.82,10.75,13.6,13,7.7,10.5,12.5,9.15,8.51,8.1,7,3.6,5,6,8.25,10.39,#N/A,,,,,,
149,CIA AU Equity,CHAMPION IRON LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.59,0.075,0.03,0.02,0.035,0.049,0.31,0.56,0.13,0.2,1.02,1.175,2.16,1.51,#N/A,,,,,,
150,GOR AU Equity,GOLD ROAD RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,0.105,0.039,0.105,0.6,0.19,0.043,0.29,0.425,0.655,0.7,0.65,1.34,#N/A,#N/A,,,,,,
151,SLR AU Equity,SILVER LAKE RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.31,0.69,1.755,2,2.81,0.595,0.51,0.14,0.515,0.47,0.6,1.255,2.13,#N/A,,,,,,
152,NEA AU Equity,NEARMAP LTD,AUD,#N/A,0.6,0.455,0.385,0.45,0.049,0.11,0.165,0.074,0.067,0.08,0.073,0.042,0.265,0.43,0.59,0.41,0.605,1.135,3.7800000000000002,2.25,#N/A,,,,,,
153,RSG AU Equity,RESOLUTE MINING LTD,AUD,0.135,0.093,0.86,0.69,1.24,0.955,1.75,1.45,1.925,0.635,1.055,1.17,1.35,0.6,0.615,0.305,1.285,1.19,1.155,1.26,#N/A,#N/A,,,,,,
154,MSB AU Equity,MESOBLAST LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.43,1.525,2.02,0.91,0.83,1.85,8.65,6.19,5.3,4.47,3.76,1.075,2.08,1.48,1.475,3.25,#N/A,,,,,,
155,DDR AU Equity,DICKER DATA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.24,0.39,0.79,1.5,1.63,2.26,2.99,2.82,6.9,#N/A,#N/A,,,,,,
156,PRN AU Equity,PERENTI GLOBAL LTD,AUD,0.19,0.067,0.28,0.65,0.64,0.7,1.405,2.59,2.55,0.905,1.65,3.31,3.42,0.86,0.855,0.39,0.72,1.835,1.835,1.825,1.155,#N/A,,,,,,
157,MGX AU Equity,MOUNT GIBSON IRON LTD,AUD,#N/A,0.003,0.19,0.12,0.17,0.64,0.815,1.34,3.12,0.9,1.55,1.8399999999999999,0.86,0.465,0.69,0.2,0.26,0.33,0.435,1.02,0.61,#N/A,,,,,,
158,NIC AU Equity,NICKEL MINES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.415,#N/A,#N/A,,,,,,
159,SSM AU Equity,SERVICE STREAM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,1.27,1.07,1.88,1,0.41,0.23,0.49,0.35,0.14,0.185,0.295,0.785,1.32,1.51,2.81,1.905,#N/A,,,,,,
160,SFR AU Equity,SANDFIRE RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.2,0.115,0.345,0.38,0.28,1.1,3.24,7.05,7.16,5.12,6.22,5.75,5.23,5.65,9.16,6.6899999999999995,5.07,#N/A,,,,,,
161,CKF AU Equity,COLLINS FOODS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.12,1.8599999999999999,1.99,2.39,4.02,5.25,5.35,7.57,7,#N/A,,,,,,
162,MMS AU Equity,MCMILLAN SHAKESPEARE LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.8,1.5699999999999998,3.35,5.31,2.46,2.92,4.6899999999999995,9.58,11.82,16.18,9.17,12.09,13.68,13.4,16,12.21,9.08,#N/A,,,,,,
163,AX1 AU Equity,ACCENT GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.19,0.175,0.3,0.24,0.37,0.52,0.59,0.34,0.55,0.585,1.21,1.415,0.86,1.65,1.385,1.47,#N/A,,,,,,
164,ELD AU Equity,ELDERS LTD,AUD,1.83,2.68,1.3599999999999999,1.6800000000000002,1.58,1.8199999999999998,2.1,2.7800000000000002,1.1,0.285,0.58,0.29,0.25,0.11,0.175,3.82,3.87,4.85,7.09,6.32,#N/A,#N/A,,,,,,
165,CGC AU Equity,COSTA GROUP HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.67,4.92,7.28,2.61,#N/A,#N/A,,,,,,
166,COE AU Equity,COOPER ENERGY LTD,AUD,#N/A,#N/A,0.145,0.1,0.17,0.255,0.535,0.79,0.465,0.445,0.37,0.36,0.445,0.375,0.505,0.245,0.215,0.38,0.385,0.54,0.375,#N/A,,,,,,
167,LIC AU Equity,LIFESTYLE COMMUNITIES LTD,AUD,1.677,0.668,0.07,0.026,0.015,0.019,0.016,0.26,0.1,0.04,0.06,0.09,0.08,0.78,1.605,2.44,2.91,4.05,5.85,6.63,9.46,#N/A,,,,,,
168,GUD AU Equity,G.U.D. HOLDINGS LTD,AUD,1.8,1.74,3.35,4.71,8.94,6.25,7.9,9.18,7.57,6.42,8.65,9.1,8.6,5.99,6.22,8.84,9.11,12.91,14.16,10.01,11.51,#N/A,,,,,,
169,PGH AU Equity,PACT GROUP HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.43,4.68,6.03,5.99,5.27,2.79,2.19,#N/A,,,,,,
170,JIN AU Equity,JUMBO INTERACTIVE LTD,AUD,0.072,0.013,0.029,0.012,0.018,0.058,0.034,0.033,0.225,0.215,0.27,0.37,1.05,1.5,1.3,0.85,1.3,2.66,5,20.15,9.58,#N/A,,,,,,
171,BGA AU Equity,BEGA CHEESE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.6,2.58,4.87,4.33,5.66,6.51,7.41,4.78,4.45,#N/A,,,,,,
172,SIQ AU Equity,SMARTGROUP CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.465,5.11,6.28,10.85,8.88,6.9399999999999995,#N/A,#N/A,,,,,,
173,AUB AU Equity,AUB GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.15,4.35,4.21,3.95,4.93,6.35,6.9399999999999995,10.9,10.79,9,10.1,12.99,13.58,10.44,14.7,#N/A,,,,,,
174,OML AU Equity,OOH!MEDIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,4.72,4.57,4.5,3.42,3.64,#N/A,#N/A,,,,,,
175,GWA AU Equity,GWA GROUP LTD,AUD,2.207,2.35,2.35,2.7,2.95,2.92,3.11,4.42,2.5,2.3,3.01,2.75,2.1,2.4,2.63,2.2800000000000002,2.09,3.15,3.4,3.42,2.77,#N/A,,,,,,
176,GEM AU Equity,G8 EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.725,0.105,0.23,0.94,0.57,1.63,3.16,4.17,3.57,3.59,3.39,2.83,1.9,#N/A,#N/A,,,,,,
177,TGR AU Equity,TASSAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.88,0.89,1.1400000000000001,3.32,2.6,1.94,1.41,1.405,1.33,2.45,3.86,3.33,3.98,3.81,4.13,4.9,3.45,#N/A,,,,,,
178,PNI AU Equity,PINNACLE INVESTMENT MANAGEME,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.2,1.42,1.06,1.145,0.67,0.195,0.185,0.61,1.2,1.45,2.9,5.37,4.38,3.92,#N/A,,,,,,
179,EOS AU Equity,ELECTRO OPTIC SYSTEMS HOLDIN,AUD,0.55,0.5,1.65,2.35,3.9,3.3,1.38,0.5,0.41,1.05,1.35,0.55,0.3,0.42,0.815,1.49,1.73,2.45,2.45,7.42,#N/A,#N/A,,,,,,
180,EOF AU Equity,ECOFIBRE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1,2.22,#N/A,,,,,,
181,WSA AU Equity,WESTERN AREAS LTD,AUD,#N/A,0.19,0.19,0.44,1.04,1.33,2.03,4.83,10.3,5.9,3.7800000000000002,5.9,4.06,2.32,4.62,3.23,2.15,2.11,3.56,1.9649999999999999,2.64,#N/A,,,,,,
182,PSI AU Equity,PSC INSURANCE GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.71,2.26,2.86,2.59,2.54,#N/A,,,,,,
183,RMS AU Equity,RAMELIUS RESOURCES LTD,AUD,#N/A,#N/A,#N/A,0.155,0.064,0.15,0.16,1.605,0.765,0.5,0.445,1.28,0.485,0.11,0.077,0.115,0.435,0.45,0.58,0.725,1.99,#N/A,,,,,,
184,SHV AU Equity,SELECT HARVESTS LTD,AUD,1.19,1.6800000000000002,3.1,4.89,6.67,9.7,13.02,11.6,6,2.16,3.46,1.8399999999999999,1.3,3.27,5.14,11,6.74,4.9,6.9,7.6899999999999995,#N/A,#N/A,,,,,,
185,OPT AU Equity,OPTHEA LTD,AUD,4.498,2.8,1.63,1.55,1.98,1.175,1.06,1.29,0.88,0.73,0.5,0.58,0.35,0.235,0.19,0.185,0.495,0.75,0.525,0.67,2.36,#N/A,,,,,,
186,MOE AU Equity,MOELIS AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.72,4.57,5.1,#N/A,#N/A,,,,,,
187,HSN AU Equity,HANSEN TECHNOLOGIES LTD,AUD,1.8,1.6400000000000001,0.3,0.17,0.21,0.27,0.13,0.285,0.39,0.42,0.565,0.91,0.92,0.91,1.2650000000000001,2.62,3.39,4.04,3.15,3.93,2.91,#N/A,,,,,,
188,IDX AU Equity,INTEGRAL DIAGNOSTICS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.45,1.6600000000000001,3.02,3.16,3.9,#N/A,,,,,,
189,VRL AU Equity,VILLAGE ROADSHOW LTD,AUD,2.3,1.6099999999999999,1.2,1.21,1.8,2.55,2.4,3.3,2.2,0.995,2.2,4.09,3.15,5.68,7.36,6.34,5.23,4.05,2.31,2.82,2.15,#N/A,,,,,,
190,REG AU Equity,REGIS HEALTHCARE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.16,4.6899999999999995,3.93,3.2800000000000002,2.63,1.41,#N/A,,,,,,
191,PBH AU Equity,POINTSBET HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.45,5.3,#N/A,,,,,,
192,MYX AU Equity,MAYNE PHARMA GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,0.38,0.18,0.56,0.52,0.35,0.43,0.85,0.985,1.905,1.085,0.87,0.51,0.385,#N/A,,,,,,
193,FXL AU Equity,FLEXIGROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.96,0.415,0.78,1.38,2.07,2.6,4.36,3.17,2.91,1.74,1.825,2.22,1.63,1.125,#N/A,,,,,,
194,WBA AU Equity,WEBSTER LTD,AUD,0.72,0.4,0.46,0.55,0.74,0.69,0.65,1.275,1.18,0.6,0.355,0.365,0.5,0.7,0.86,1.565,1.115,1.4,1.73,1.25,#N/A,#N/A,,,,,,
195,KGN AU Equity,KOGAN.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.67,6.82,4.75,14.72,#N/A,,,,,,
196,SLK AU Equity,SEALINK TRAVEL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8900000000000001,2.19,4.08,4.07,4.43,3.81,4.42,#N/A,,,,,,
197,EHL AU Equity,EMECO HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.645,1.07,0.405,0.58,1.13,0.875,0.28,0.2,0.081,0.031,0.105,0.375,2.07,0.995,#N/A,,,,,,
198,HUB AU Equity,HUB24 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.15,0.07,0.05,0.088,0.03,0.75,0.815,1.2,3.68,6.24,11.55,11.88,9.3,#N/A,,,,,,
199,ORE AU Equity,OROCOBRE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.48,0.59,1.7,2.06,1.845,1.3900000000000001,2.26,2.1,4.79,3.4699999999999998,5.17,2.82,2.31,#N/A,,,,,,
200,SGF AU Equity,SG FLEET GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.8,2.4699999999999998,3.64,3.8,3.7,2.95,1.6,#N/A,,,,,,
201,IFM AU Equity,INFOMEDIA LTD,AUD,#N/A,1.8,0.82,0.8,0.74,0.49,0.625,0.62,0.37,0.295,0.275,0.215,0.2,0.47,0.75,1.2,0.58,0.725,0.96,1.705,1.72,#N/A,,,,,,
202,AAC AU Equity,AUSTRALIAN AGRICULTURAL CO,AUD,#N/A,#N/A,0.67,1.08,1.6099999999999999,1.56,1.85,3.2,1.875,1.495,1.425,1.33,1.17,1.29,1.25,1.605,1.3,1.6600000000000001,1.185,1.015,1.095,#N/A,,,,,,
203,API AU Equity,AUSTRALIAN PHARMA INDUS LTD,AUD,2.4,2.4,3.43,2.76,2.56,2.75,2.48,2.2,0.69,0.75,0.425,0.235,0.375,0.485,0.585,1.625,1.775,1.465,1.845,1.32,1.085,#N/A,,,,,,
204,AMA AU Equity,AMA GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.465,0.315,0.019,0.043,0.11,0.145,0.28,0.285,0.6,0.805,0.97,1.045,1.43,0.595,#N/A,,,,,,
