Num,Ticker,Name,FY Report Month,Data FX,"Begin 
Year",Sector,BICS Name,BICS 1,BICS 2,BICS 3,BICS 4
150,GOR AU Equity,GOLD ROAD RESOURCES LTD,2019-12-31 00:00:00,AUD,2007,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
151,SLR AU Equity,SILVER LAKE RESOURCES LTD,2019-06-30 00:00:00,AUD,2014,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
152,NEA AU Equity,NEARMAP LTD,2019-06-30 00:00:00,AUD,2001,Internet Based Services,Information Services,Technology,Technology Services,Information Services,#N/A
153,RSG AU Equity,RESOLUTE MINING LTD,2019-12-31 00:00:00,AUD,2002,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
154,MSB AU Equity,MESOBLAST LTD,2019-06-30 00:00:00,AUD,2005,Biotechnology,Development Stage Biotech,Health Care,Biotech & Pharma,Biotech,Development Stage Biotech
155,DDR AU Equity,DICKER DATA LTD,2019-12-31 00:00:00,AUD,2011,Technology,Computer & Software Whslrs,Consumer Discretionary,Distributors - Discretionary,Consumer Elec & Applc Whslrs,Computer & Software Whslrs
156,PRN AU Equity,PERENTI GLOBAL LTD,2019-06-30 00:00:00,AUD,2000,Mining Services,Metals Support Services,Materials,Metals & Mining,Mining Services,Metals Support Services
157,MGX AU Equity,MOUNT GIBSON IRON LTD,2019-06-30 00:00:00,AUD,2002,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
158,NIC AU Equity,NICKEL MINES LTD,2019-06-30 00:00:00,AUD,2019,Base Metals,Nickel Ore Mining,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc Ore"
159,SSM AU Equity,SERVICE STREAM LTD,2019-06-30 00:00:00,AUD,2005,Telecommunications,Communication Infra Const,Industrials,Engineering & Construction Svcs,Infrastructure Construction,Communication Infra Const
160,SFR AU Equity,SANDFIRE RESOURCES LTD,2019-06-30 00:00:00,AUD,2009,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
161,CKF AU Equity,COLLINS FOODS LTD,2019-04-28 00:00:00,AUD,2012,Food & Leisure,Fast Food Rest - Owned,Consumer Discretionary,"Gaming, Lodging & Restaurants",Restaurants,Limited Service Restaurants
162,MMS AU Equity,MCMILLAN SHAKESPEARE LTD,2019-06-30 00:00:00,AUD,2004,Asset Management,Wealth Management,Financials,Asset Management,Wealth Management,#N/A
163,AX1 AU Equity,ACCENT GROUP LTD,2019-06-30 00:00:00,AUD,2005,Discretionary Retail,Footwear Wholesalers,Consumer Discretionary,Distributors - Discretionary,Apparel & Footwear Whslrs,Footwear Wholesalers
164,ELD AU Equity,ELDERS LTD,2019-09-30 00:00:00,AUD,2000,Agriculture,Other Farm Raw Material Whslrs,Consumer Staples,Distributors - Consumer Staples,Agricultural Products Whslrs,Other Farm Raw Material Whslrs
165,CGC AU Equity,COSTA GROUP HOLDINGS LTD,2019-12-29 00:00:00,AUD,2016,Agriculture,Fruit Farming,Consumer Staples,Consumer Products,Agricultural Producers,Food Crop Production
166,COE AU Equity,COOPER ENERGY LTD,2019-06-30 00:00:00,AUD,2003,Energy,Exploration & Production,Energy,"Oil, Gas & Coal",Exploration & Production,#N/A
167,LIC AU Equity,LIFESTYLE COMMUNITIES LTD,2019-06-30 00:00:00,AUD,2000,Real Estate,Single Family Home Const,Consumer Discretionary,Home & Office Products,Homebuilders,Single Family Home Const
168,GUD AU Equity,G.U.D. HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Other Motor Vehicle Parts,Consumer Discretionary,Automotive,Auto Parts,Other Motor Vehicle Parts
169,PGH AU Equity,PACT GROUP HOLDINGS LTD,2019-06-30 00:00:00,AUD,2014,Industrials,Containers & Packaging,Materials,Containers & Packaging,Containers & Packaging,#N/A
170,JIN AU Equity,JUMBO INTERACTIVE LTD,2019-06-30 00:00:00,AUD,2000,Food & Leisure,Mobile & Online Gambling,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Mobile & Online Gambling
171,BGA AU Equity,BEGA CHEESE LTD,2019-06-30 00:00:00,AUD,2012,Consumer Products,Cheese,Consumer Staples,Consumer Products,Packaged Food,Dairy & Egg Products
172,SIQ AU Equity,SMARTGROUP CORP LTD,2019-12-31 00:00:00,AUD,2014,Commercial Services,Other Professional Services,Consumer Discretionary,Commercial Services,Professional Services,Other Professional Services
173,AUB AU Equity,AUB GROUP LTD,2019-06-30 00:00:00,AUD,2006,Insurance,Insurance Brokers,Financials,Insurance,Insurance Brokers,#N/A
174,OML AU Equity,OOH!MEDIA LTD,2019-12-31 00:00:00,AUD,2014,Advertising,Advertising & Marketing,Communications,Media,Advertising & Marketing,#N/A
175,GWA AU Equity,GWA GROUP LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Products,Plumbing Products,Consumer Discretionary,Home & Office Products,Home Improvement,Plumbing Products
176,GEM AU Equity,G8 EDUCATION LTD,2019-12-31 00:00:00,AUD,2007,Consumer Services,Other Schools,Consumer Discretionary,Consumer Services,Educational Services,Other Schools
177,TGR AU Equity,TASSAL GROUP LTD,2019-06-30 00:00:00,AUD,2004,Agriculture,Fresh & Frozen Seafood Process,Consumer Staples,Consumer Products,Packaged Food,"Frozen, Canned & Perish Food"
178,PNI AU Equity,PINNACLE INVESTMENT MANAGEME,2019-06-30 00:00:00,AUD,2007,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
179,EOS AU Equity,ELECTRO OPTIC SYSTEMS HOLDIN,2019-12-31 00:00:00,AUD,2004,Industrials,Elec Aerospace & Defense Sys,Industrials,Aerospace & Defense,Aircraft & Parts,Aircraft Parts
180,EOF AU Equity,ECOFIBRE LTD,2019-06-30 00:00:00,AUD,2019,Pharmaceutical,Specialty Pharma,Health Care,Biotech & Pharma,Specialty Pharma,#N/A
181,WSA AU Equity,WESTERN AREAS LTD,2019-06-30 00:00:00,AUD,2001,Base Metals,Nickel Ore Mining,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc Ore"
182,PSI AU Equity,PSC INSURANCE GROUP LTD,2019-06-30 00:00:00,AUD,2016,Insurance,Insurance Brokers,Financials,Insurance,Insurance Brokers,#N/A
183,RMS AU Equity,RAMELIUS RESOURCES LTD,2019-06-30 00:00:00,AUD,2004,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
184,SHV AU Equity,SELECT HARVESTS LTD,2019-09-30 00:00:00,AUD,2000,Consumer Products,Tree Nut Farming,Consumer Staples,Consumer Products,Agricultural Producers,Food Crop Production
185,OPT AU Equity,OPTHEA LTD,2019-06-30 00:00:00,AUD,2000,Pharmaceutical,Health Care Testing Services,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services
186,MOE AU Equity,MOELIS AUSTRALIA LTD,2019-12-31 00:00:00,AUD,2018,Institutional Financial Services,Investment Management,Financials,Asset Management,Investment Management,#N/A
187,HSN AU Equity,HANSEN TECHNOLOGIES LTD,2019-06-30 00:00:00,AUD,2000,Technology,Communications Software,Technology,Software,Application Software,Specialty Software
188,IDX AU Equity,INTEGRAL DIAGNOSTICS LTD,2019-06-30 00:00:00,AUD,2016,Health Care Facilities,Radiology & Diagnostic Imaging,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services
189,VRL AU Equity,VILLAGE ROADSHOW LTD,2019-06-30 00:00:00,AUD,2000,Food & Leisure,Entertainment Facilities,Consumer Discretionary,Recreation Facilities & Svcs,Entertainment Facilities,#N/A
190,REG AU Equity,REGIS HEALTHCARE LTD,2019-06-30 00:00:00,AUD,2015,Health Care Facilities,Nursing & Residential Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Nursing & Residential Care
191,PBH AU Equity,POINTSBET HOLDINGS LTD,2019-06-30 00:00:00,AUD,2019,Casinos & Gaming,Betting,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Betting
192,MYX AU Equity,MAYNE PHARMA GROUP LTD,2019-06-30 00:00:00,AUD,2007,Pharmaceutical,Generic Pharma,Health Care,Biotech & Pharma,Generic Pharma,#N/A
193,FXL AU Equity,FLEXIGROUP LTD,2019-06-30 00:00:00,AUD,2007,Specialty Finance,Credit & Debit,Financials,Specialty Finance,Consumer Finance,Credit & Debit
194,WBA AU Equity,WEBSTER LTD,2019-09-30 00:00:00,AUD,2000,Agriculture,Tree Nut Farming,Consumer Staples,Consumer Products,Agricultural Producers,Food Crop Production
195,KGN AU Equity,KOGAN.COM LTD,2019-06-30 00:00:00,AUD,2017,Discretionary Retail,Electronic Shopping,Consumer Discretionary,Retail - Discretionary,E-Commerce Discretionary,Electronic Shopping
196,SLK AU Equity,SEALINK TRAVEL GROUP LTD,2019-06-30 00:00:00,AUD,2014,Travel,Cruise Lines,Consumer Discretionary,"Gaming, Lodging & Restaurants",Cruise Lines,#N/A
197,EHL AU Equity,EMECO HOLDINGS LTD,2019-06-30 00:00:00,AUD,2007,Commercial Services,Commercial Equip Rental Svcs,Industrials,Industrial Services,Industrial Distribution & Rental,Commercial Equip Rental Svcs
198,HUB AU Equity,HUB24 LTD,2019-06-30 00:00:00,AUD,2008,Institutional Financial Services,Platform as a Service (PAAS),Technology,Software,Infrastructure Software,Cloud & Virtualization
199,ORE AU Equity,OROCOBRE LTD,2019-06-30 00:00:00,AUD,2008,Precious Metals,Lithium,Materials,Metals & Mining,Other Mined Minerals,Lithium
200,SGF AU Equity,SG FLEET GROUP LTD,2019-06-30 00:00:00,AUD,2014,Specialty Finance,Auto Finance,Financials,Specialty Finance,Consumer Finance,Auto Finance
201,IFM AU Equity,INFOMEDIA LTD,2019-06-30 00:00:00,AUD,2001,Publishing & Broadcasting,Professional Book Publishers,Communications,Media,Publishing & Broadcasting,Publishing
202,AAC AU Equity,AUSTRALIAN AGRICULTURAL CO,2019-03-31 00:00:00,AUD,2002,Agriculture,Beef Cattle Ranch & Farming,Consumer Staples,Consumer Products,Agricultural Producers,Animal Production & Process
203,API AU Equity,AUSTRALIAN PHARMA INDUS LTD,2019-08-31 00:00:00,AUD,2000,Health Care Facilities,Pharma & Specialty Distribution,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Health Care Distribution
204,AMA AU Equity,AMA GROUP LTD,2019-06-30 00:00:00,AUD,2013,Discretionary Retail,Auto Repair Centers,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,Auto Repair Centers
205,KAR AU Equity,KAROON ENERGY LTD,2019-06-30 00:00:00,AUD,2004,Energy,Exploration & Production,Energy,"Oil, Gas & Coal",Exploration & Production,#N/A
206,SXL AU Equity,SOUTHERN CROSS MEDIA GROUP L,2019-06-30 00:00:00,AUD,2006,Publishing & Broadcasting,Local TV & Radio Broadcast,Communications,Media,Publishing & Broadcasting,Local TV & Radio Broadcast
207,EHE AU Equity,ESTIA HEALTH LTD,2019-06-30 00:00:00,AUD,2015,Health Care Facilities,Nursing & Residential Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Nursing & Residential Care
208,EQT AU Equity,EQT HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
209,CWP AU Equity,CEDAR WOODS PROPERTIES LTD,2019-06-30 00:00:00,AUD,2000,Real Estate,Housing Owners & Developers,Financials,Real Estate,Real Estate Owners & Developers,Housing Owners & Developers
210,ALG AU Equity,ARDENT LEISURE GROUP LTD,2019-06-25 00:00:00,AUD,2011,Food & Leisure,Entertainment Facilities,Consumer Discretionary,Recreation Facilities & Svcs,Entertainment Facilities,#N/A
211,PLS AU Equity,PILBARA MINERALS LTD,2019-06-30 00:00:00,AUD,2010,Precious Metals,Lithium,Materials,Metals & Mining,Other Mined Minerals,Lithium
212,HLO AU Equity,HELLOWORLD TRAVEL LTD,2019-06-30 00:00:00,AUD,2001,Travel,Retail Travel Agencies,Consumer Discretionary,Recreation Facilities & Svcs,Leisure & Travel Services,Travel Services
213,SIG AU Equity,SIGMA HEALTHCARE LTD,2019-01-31 00:00:00,AUD,2006,Health Care Facilities,Pharma & Specialty Distribution,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Health Care Distribution
214,MAH AU Equity,MACMAHON HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Mining Services,Mining Services,Materials,Metals & Mining,Mining Services,#N/A
215,PPC AU Equity,PEET LTD,2019-06-30 00:00:00,AUD,2005,Real Estate,Multi Asset Class Own & Develop,Financials,Real Estate,Real Estate Owners & Developers,Multi Asset Class Own & Develop
216,RMC AU Equity,RESIMAC GROUP LTD,2019-06-30 00:00:00,AUD,2001,Specialty Finance,Mortgage Lenders,Financials,Specialty Finance,Mortgage Finance,Mortgage Lenders
217,AFG AU Equity,AUSTRALIAN FINANCE GROUP LTD,2019-06-30 00:00:00,AUD,2015,Specialty Finance,Mortgage Loan Brokers,Financials,Specialty Finance,Mortgage Finance,Mortgage Loan Brokers
218,CVN AU Equity,CARNARVON PETROLEUM LTD,2019-06-30 00:00:00,AUD,2000,Energy,Exploration & Production,Energy,"Oil, Gas & Coal",Exploration & Production,#N/A
219,PAR AU Equity,PARADIGM BIOPHARMACEUTICALS,2019-06-30 00:00:00,AUD,2016,Biotechnology,Biotech,Health Care,Biotech & Pharma,Biotech,#N/A
220,AHY AU Equity,ASALEO CARE LTD,2019-12-31 00:00:00,AUD,2014,Consumer Products,Personal Care Products,Consumer Staples,Consumer Products,Household Products,Personal Care Products
221,MVP AU Equity,MEDICAL DEVELOPMENTS INTERNA,2019-06-30 00:00:00,AUD,2004,Pharmaceutical,Generic Pharma,Health Care,Biotech & Pharma,Generic Pharma,#N/A
222,IMD AU Equity,IMDEX LTD,2019-06-30 00:00:00,AUD,2000,Mining Services,Metals Support Services,Materials,Metals & Mining,Mining Services,Metals Support Services
223,DTL AU Equity,DATA#3 LTD,2019-06-30 00:00:00,AUD,2000,Technology,Enterprise Software,Technology,Software,Application Software,Enterprise Software
224,NCK AU Equity,NICK SCALI LTD,2019-06-30 00:00:00,AUD,2004,Discretionary Retail,Furniture Stores,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Furniture Stores
225,IRI AU Equity,INTEGRATED RESEARCH LTD,2019-06-30 00:00:00,AUD,2001,Technology,Infrastructure Software,Technology,Software,Infrastructure Software,#N/A
226,OCL AU Equity,OBJECTIVE CORPORATION LTD,2019-06-30 00:00:00,AUD,2001,Technology,Enterprise Software,Technology,Software,Application Software,Enterprise Software
227,BWX AU Equity,BWX LTD,2019-06-30 00:00:00,AUD,2017,Consumer Products,Personal Care Products,Consumer Staples,Consumer Products,Household Products,Personal Care Products
228,BUB AU Equity,BUBS AUSTRALIA LTD,2019-06-30 00:00:00,AUD,2000,Consumer Products,Other Food,Consumer Staples,Consumer Products,Packaged Food,Other Food
229,AD8 AU Equity,AUDINATE GROUP LTD,2019-06-30 00:00:00,AUD,2017,Technology,Other Application Software,Technology,Software,Application Software,Other Application Software
230,UWL AU Equity,UNITI GROUP LTD,2019-06-30 00:00:00,AUD,2019,Telecommunications,Wired Internet Services - Media,Communications,Media,Cable & Satellite,Wired Internet Services - Media
231,SWM AU Equity,SEVEN WEST MEDIA LTD,2019-06-29 00:00:00,AUD,2007,Publishing & Broadcasting,Publishing & Broadcasting,Communications,Media,Publishing & Broadcasting,#N/A
232,CCX AU Equity,CITY CHIC COLLECTIVE LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Retail,Women's Clothing Stores,Consumer Discretionary,Retail - Discretionary,Specialty Apparel Stores,Women's Clothing Stores
233,SXY AU Equity,SENEX ENERGY LTD,2019-06-30 00:00:00,AUD,2000,Energy,Crude Oil & Natural Gas E&P,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
234,MAQ AU Equity,MACQUARIE TELECOM GROUP LTD,2019-06-30 00:00:00,AUD,2000,Telecommunications,Wireline Telecom Services,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
235,JLG AU Equity,JOHNS LYNG GROUP LTD,2019-06-30 00:00:00,AUD,2018,Industrials,Non-Residential Bldg Const,Industrials,Engineering & Construction Svcs,Non-Residential Bldg Const,#N/A
236,WGN AU Equity,WAGNERS HOLDING CO LTD,2019-06-30 00:00:00,AUD,2018,Industrials,Infrastructure Construction,Industrials,Engineering & Construction Svcs,Infrastructure Construction,#N/A
237,PWH AU Equity,PWR HOLDINGS LTD,2019-06-30 00:00:00,AUD,2016,Discretionary Retail,Auto Parts,Consumer Discretionary,Automotive,Auto Parts,#N/A
238,HT1 AU Equity,HT&E LTD,2019-12-31 00:00:00,AUD,2000,Publishing & Broadcasting,Radio Broadcasting,Communications,Media,Publishing & Broadcasting,Local TV & Radio Broadcast
239,WPP AU Equity,WPP AUNZ LTD,2019-12-31 00:00:00,AUD,2000,Advertising,Advertising Agencies,Communications,Media,Advertising & Marketing,Advertising Agencies & Svcs
240,ECX AU Equity,ECLIPX GROUP LTD,2019-09-30 00:00:00,AUD,2015,Specialty Finance,Comml Equip Finance & Leasing,Financials,Specialty Finance,Commercial Finance,Comml Equip Finance & Leasing
241,ELO AU Equity,ELMO SOFTWARE LTD,2019-06-30 00:00:00,AUD,2017,Technology,Cloud & Virtualization,Technology,Software,Infrastructure Software,Cloud & Virtualization
242,NGI AU Equity,NAVIGATOR GLOBAL INVESTMENTS,2019-06-30 00:00:00,AUD,2009,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
243,PET AU Equity,PHOSLOCK ENVIRONMENTAL TECHN,2019-12-31 00:00:00,AUD,2004,Industrials,Water Purification Equipment,Industrials,Waste & Environ Svcs & Equip,Pollution Control Equipment,Water Purification Equipment
244,MYS AU Equity,MYSTATE LTD,2019-06-30 00:00:00,AUD,2010,Banking,Banks,Financials,Banking,Banks,#N/A
245,SPL AU Equity,STARPHARMA HOLDINGS LTD,2019-06-30 00:00:00,AUD,2001,Pharmaceutical,Specialty Pharma,Health Care,Biotech & Pharma,Specialty Pharma,#N/A
246,CLV AU Equity,CLOVER CORP LTD,2019-07-31 00:00:00,AUD,2018,Consumer Products,Fresh & Frozen Seafood Process,Consumer Staples,Consumer Products,Packaged Food,"Frozen, Canned & Perish Food"
247,AKP AU Equity,AUDIO PIXELS HOLDINGS LTD,2019-12-31 00:00:00,AUD,2005,Technology,Audio Equipment,Technology,Hardware,Consumer Electronics,Audio Equipment
248,PPK AU Equity,PPK GROUP LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Construction & Mining Machinery,Industrials,Machinery,Construction & Mining Machinery,#N/A
249,AEF AU Equity,AUSTRALIAN ETHICAL INVT LTD,2019-06-30 00:00:00,AUD,2003,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
250,BBN AU Equity,BABY BUNTING GROUP LTD,2019-06-30 00:00:00,AUD,2016,Discretionary Retail,Toy & Game Stores,Consumer Discretionary,Retail - Discretionary,Other Spec Retail - Discr,Toy & Game Stores
251,MNY AU Equity,MONEY3 CORP LTD,2019-06-30 00:00:00,AUD,2007,Specialty Finance,Consumer Finance,Financials,Specialty Finance,Consumer Finance,#N/A
252,OPC AU Equity,OPTICOMM LTD,2019-06-30 00:00:00,AUD,2019,Telecommunications,Wired Internet Services - Media,Communications,Media,Cable & Satellite,Wired Internet Services - Media
253,MNF AU Equity,MNF GROUP LTD,2019-06-30 00:00:00,AUD,2006,Telecommunications,VOIP Services,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
254,RED AU Equity,RED 5 LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
255,SRV AU Equity,SERVCORP LTD,2019-06-30 00:00:00,AUD,2000,Commercial Services,Other Professional Services,Consumer Discretionary,Commercial Services,Professional Services,Other Professional Services
256,VHT AU Equity,VOLPARA HEALTH TECHNOLOGIES,2019-03-31 00:00:00,AUD,2018,Medical Equipment & Devices,Medical Equipment,Health Care,Medical Equipment & Devices,Medical Equipment,#N/A
257,CMM AU Equity,CAPRICORN METALS LTD,2019-06-30 00:00:00,AUD,2009,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
258,MYR AU Equity,MYER HOLDINGS LTD,2019-07-27 00:00:00,AUD,2010,Discretionary Retail,High-End Department Stores,Consumer Discretionary,Retail - Discretionary,Department Stores,High-End Department Stores
259,HUO AU Equity,HUON AQUACULTURE GROUP LTD,2019-06-30 00:00:00,AUD,2015,Agriculture,Fishing,Consumer Staples,Consumer Products,Agricultural Producers,Aquaculture Fishing
260,TLX AU Equity,TELIX PHARMACEUTICALS LTD,2019-12-31 00:00:00,AUD,2018,Biotechnology,Biotech,Health Care,Biotech & Pharma,Biotech,#N/A
261,SST AU Equity,STEAMSHIPS TRADING COMPANY,2019-12-31 00:00:00,AUD,2007,Industrials,Logistics Services,Industrials,Transportation & Logistics,Logistics Services,#N/A
262,ADH AU Equity,ADAIRS LTD,2019-06-30 00:00:00,AUD,2015,Discretionary Retail,Furniture Stores,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Furniture Stores
263,BFG AU Equity,BELL FINANCIAL GROUP LTD,2019-12-31 00:00:00,AUD,2007,Institutional Financial Services,Institutional Brokerage,Financials,Institutional Financial Svcs,Institutional Brokerage,#N/A
264,AMI AU Equity,AURELIA METALS LTD,2019-06-30 00:00:00,AUD,2007,Precious Metals,Mining Services,Materials,Metals & Mining,Mining Services,#N/A
265,GXY AU Equity,GALAXY RESOURCES LTD,2019-12-31 00:00:00,AUD,2007,Precious Metals,Lithium,Materials,Metals & Mining,Other Mined Minerals,Lithium
266,VRT AU Equity,VIRTUS HEALTH LTD,2019-06-30 00:00:00,AUD,2013,Health Care Facilities,Health Care Services,Health Care,Health Care Facilities & Svcs,Health Care Services,#N/A
267,OMH AU Equity,OM HOLDINGS LTD,2019-12-31 00:00:00,AUD,2005,Base Metals,Manganese,Materials,Metals & Mining,Base Metals,Manganese
268,DCN AU Equity,DACIAN GOLD LTD,2019-06-30 00:00:00,AUD,2013,Precious Metals,Precious Metal Mining,Materials,Metals & Mining,Precious Metal Mining,#N/A
269,IGL AU Equity,IVE GROUP LTD,2019-06-30 00:00:00,AUD,2016,Advertising,Advertising & Marketing,Communications,Media,Advertising & Marketing,#N/A
270,SLC AU Equity,SUPERLOOP LTD,2019-06-30 00:00:00,AUD,2015,Telecommunications,Communication Infra Const,Industrials,Engineering & Construction Svcs,Infrastructure Construction,Communication Infra Const
271,STX AU Equity,STRIKE ENERGY LTD,2019-06-30 00:00:00,AUD,2005,Energy,Crude Oil & Natural Gas E&P,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
272,OFX AU Equity,OFX GROUP LTD,2019-03-31 00:00:00,AUD,2014,Specialty Finance,Financial Transaction Proc Svcs,Financials,Specialty Finance,Consumer Finance,Credit & Debit
273,ANO AU Equity,ADVANCE NANOTEK LTD,2019-06-30 00:00:00,AUD,2005,Consumer Products,Personal Care Products,Consumer Staples,Consumer Products,Household Products,Personal Care Products
274,NXS AU Equity,NEXT SCIENCE LTD,2019-12-31 00:00:00,AUD,2019,Biotechnology,Biotech,Health Care,Biotech & Pharma,Biotech,#N/A
275,PFP AU Equity,PROPEL FUNERAL PARTNERS LTD,2019-06-30 00:00:00,AUD,2018,Consumer Services,Funeral Services,Consumer Discretionary,Consumer Services,Funeral Services,#N/A
276,ALK AU Equity,ALKANE RESOURCES LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
277,AQZ AU Equity,ALLIANCE AVIATION SERVICES L,2019-06-30 00:00:00,AUD,2012,Airlines,Charter Airline - Full Svc,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
278,RIC AU Equity,RIDLEY CORP LTD,2019-06-30 00:00:00,AUD,2000,Agriculture,Animal Feed,Consumer Staples,Consumer Products,Agricultural Producers,Animal Feed
279,CVW AU Equity,CLEARVIEW WEALTH LTD,2019-06-30 00:00:00,AUD,2005,Asset Management,Life Insurance,Financials,Insurance,Life Insurance,#N/A
280,INR AU Equity,IONEER LTD,2019-06-30 00:00:00,AUD,2008,Precious Metals,Lithium,Materials,Metals & Mining,Other Mined Minerals,Lithium
281,TBR AU Equity,TRIBUNE RESOURCES LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
282,PAC AU Equity,PACIFIC CURRENT GROUP LTD,2019-06-30 00:00:00,AUD,2000,Asset Management,Wealth Management,Financials,Asset Management,Wealth Management,#N/A
283,PGL AU Equity,PROSPA GROUP LTD,2019-06-30 00:00:00,AUD,2019,Specialty Finance,Consumer Microlending,Financials,Specialty Finance,Consumer Finance,Consumer Microlending
284,TPW AU Equity,TEMPLE & WEBSTER GROUP LTD,2019-06-30 00:00:00,AUD,2016,Discretionary Retail,Misc. Retail - Online,Consumer Discretionary,Retail - Discretionary,E-Commerce Discretionary,Other Specialty Retail - Online
285,NTO AU Equity,NITRO SOFTWARE LTD,2019-12-31 00:00:00,AUD,2019,Technology,Information Services,Technology,Technology Services,Information Services,#N/A
286,ASG AU Equity,AUTOSPORTS GROUP LTD,2019-06-30 00:00:00,AUD,2017,Discretionary Retail,Automotive Retailers,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,#N/A
287,BGL AU Equity,BELLEVUE GOLD LTD,2019-06-30 00:00:00,AUD,2006,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
288,CAT AU Equity,CATAPULT GROUP INTERNATIONAL,2019-06-30 00:00:00,AUD,2015,Industrials,Measurement Instruments,Industrials,Electrical Equipment,Measurement Instruments,#N/A
289,RBL AU Equity,REDBUBBLE LTD,2019-06-30 00:00:00,AUD,2016,Discretionary Retail,Other Specialty Retail - Staples,Consumer Staples,Retail - Consumer Staples,Other Specialty Retail - Staples,#N/A
290,HE8 AU Equity,HELIOS ENERGY LTD,2019-06-30 00:00:00,AUD,2011,Energy,Exploration & Production,Energy,"Oil, Gas & Coal",Exploration & Production,#N/A
291,RHP AU Equity,RHIPE LTD,2019-06-30 00:00:00,AUD,2005,Technology,Infrastructure Software,Technology,Software,Infrastructure Software,#N/A
292,GRR AU Equity,GRANGE RESOURCES LTD,2019-12-31 00:00:00,AUD,2000,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
293,MLD AU Equity,MACA LTD,2019-06-30 00:00:00,AUD,2011,Industrials,Aggregates,Materials,Construction Materials,Cement & Aggregates,Aggregates
294,FAR AU Equity,FAR LTD,2019-12-31 00:00:00,AUD,2000,Energy,Crude Oil & Natural Gas E&P,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
295,PSQ AU Equity,PACIFIC SMILES GROUP LTD,2019-06-30 00:00:00,AUD,2015,Health Care Facilities,Outpatient Health Services,Health Care,Health Care Facilities & Svcs,Health Care Services,Outpatient Health Services
296,SMR AU Equity,STANMORE COAL LTD,2019-06-30 00:00:00,AUD,2010,Energy,Coal Operations,Energy,"Oil, Gas & Coal",Coal Operations,#N/A
297,FLC AU Equity,FLUENCE CORP LTD,2019-12-31 00:00:00,AUD,2007,Industrials,Water Purification Equipment,Industrials,Waste & Environ Svcs & Equip,Pollution Control Equipment,Water Purification Equipment
298,MHJ AU Equity,MICHAEL HILL INTERNATIONAL L,2019-06-30 00:00:00,AUD,2017,Discretionary Retail,Watch & Jewelry Design,Consumer Discretionary,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Watch & Jewelry Design
