Num,Ticker,Name,FY Report Month,Data FX,"Begin 
Year",Sector,BICS Name,BICS 1,BICS 2,BICS 3,BICS 4
31,OSH AU Equity,OIL SEARCH LTD,2019-12-31 00:00:00,AUD,2000,Energy,Crude Oil & Natural Gas E&P,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
32,CIM AU Equity,CIMIC GROUP LTD,2019-12-31 00:00:00,AUD,2000,Industrials,Infrastructure Construction,Industrials,Engineering & Construction Svcs,Infrastructure Construction,#N/A
33,QAN AU Equity,QANTAS AIRWAYS LTD,2019-06-30 00:00:00,AUD,2000,Airlines,Mainline Airline - Full Svc,Consumer Discretionary,Passenger Transportation,Airlines,Full Service Airline
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,2019-06-30 00:00:00,AUD,2007,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
35,AZJ AU Equity,AURIZON HOLDINGS LTD,2019-06-30 00:00:00,AUD,2011,Transport & Logistics,Coal Freight - Rail,Industrials,Transportation & Logistics,Rail Freight,Total Commodity - Rail
36,TAH AU Equity,TABCORP HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Casinos & Gaming,Casinos & Gaming,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,#N/A
37,CPU AU Equity,COMPUTERSHARE LTD,2019-06-30 00:00:00,AUD,2000,Institutional Financial Services,"Instl Trust, Fiduciary & Custody",Financials,Institutional Financial Svcs,"Instl Trust, Fiduciary & Custody",#N/A
38,MPL AU Equity,MEDIBANK PRIVATE LTD,2019-06-30 00:00:00,AUD,2015,Insurance,Life Insurance,Financials,Insurance,Life Insurance,#N/A
39,CTX AU Equity,CALTEX AUSTRALIA LTD,2019-12-31 00:00:00,AUD,2000,Energy,Petroleum Refining,Energy,"Oil, Gas & Coal",Refining & Marketing,Petroleum Refining
40,ORI AU Equity,ORICA LTD,2019-09-30 00:00:00,AUD,2000,Industrials,Explosives,Materials,Chemicals,Specialty Chemicals,Explosives
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,2019-06-30 00:00:00,AUD,2004,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
42,CWN AU Equity,CROWN RESORTS LTD,2019-06-30 00:00:00,AUD,2008,Casinos & Gaming,Casinos,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Casinos
43,CCL AU Equity,COCA-COLA AMATIL LTD,2019-12-31 00:00:00,AUD,2000,Consumer Products,Soft Drink,Consumer Staples,Consumer Products,Beverages,Non-Alcoholic Beverages
44,WOR AU Equity,WORLEY LTD,2019-06-30 00:00:00,AUD,2003,Mining Services,Professional Services,Consumer Discretionary,Commercial Services,Professional Services,#N/A
45,SEK AU Equity,SEEK LTD,2019-06-30 00:00:00,AUD,2005,Internet Based Services,Adv Rev - Recruit Svcs Web,Communications,Media,Internet Based Services,Recruitment Services Web
46,APT AU Equity,AFTERPAY LTD,2019-06-30 00:00:00,AUD,2017,Specialty Finance,Other Financial Services,Financials,Specialty Finance,Other Financial Services,#N/A
47,BSL AU Equity,BLUESCOPE STEEL LTD,2019-06-30 00:00:00,AUD,2003,Industrials,Steel Producers,Materials,Iron & Steel,Steel Producers,#N/A
48,WTC AU Equity,WISETECH GLOBAL LTD,2019-06-30 00:00:00,AUD,2016,Technology,"Operations, Mfg & Supply Chain",Technology,Software,Application Software,Enterprise Software
49,AWC AU Equity,ALUMINA LTD,2019-12-31 00:00:00,AUD,2003,Base Metals,Aluminum Smelting & Refining,Materials,Metals & Mining,Base Metals,Aluminum
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Const/Mining Mach/Equip Distr,Industrials,Industrial Services,Industrial Distribution & Rental,Industrial Machinery Distr
51,AMP AU Equity,AMP LTD,2019-12-31 00:00:00,AUD,2000,Insurance,Life Insurance Non-Premium,Financials,Insurance,Life Insurance,Life Insurance Non-Premium
52,EVN AU Equity,EVOLUTION MINING LTD,2019-06-30 00:00:00,AUD,2003,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
53,REH AU Equity,REECE LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Retail,Plumb Fixture Fitting & Trim,Consumer Discretionary,Home & Office Products,Home Improvement,Plumbing Products
54,AST AU Equity,AUSNET SERVICES,2019-03-31 00:00:00,AUD,2006,Utilities,Electricity Networks,Utilities,Utilities,Utility Networks,Electricity Networks
55,TPM AU Equity,TPG TELECOM LTD,2019-07-31 00:00:00,AUD,2001,Telecommunications,Wireline Telecom Services,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
56,BPT AU Equity,BEACH ENERGY LTD,2019-06-30 00:00:00,AUD,2000,Energy,Exploration & Production,Energy,"Oil, Gas & Coal",Exploration & Production,#N/A
57,QUB AU Equity,QUBE HOLDINGS LTD,2019-06-30 00:00:00,AUD,2010,Transport & Logistics,Logistics Services,Industrials,Transportation & Logistics,Logistics Services,#N/A
58,BLD AU Equity,BORAL LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Concrete Block & Brick,Materials,Construction Materials,Non Wood Building Materials,Concrete Products
59,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,2019-07-31 00:00:00,AUD,2000,Energy,Coal Mining,Energy,"Oil, Gas & Coal",Coal Operations,Coal Mining
60,IPL AU Equity,INCITEC PIVOT LTD,2019-09-30 00:00:00,AUD,2003,Industrials,Fertilizer Blending & Distr,Materials,Chemicals,Agricultural Chemicals,Fertilizers
61,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Retail,Consumer Electronics Stores,Consumer Discretionary,Retail - Discretionary,Consumer Elec & Applc Stores,Consumer Electronics Stores
62,CGF AU Equity,CHALLENGER LTD,2019-06-30 00:00:00,AUD,2004,Insurance,Life Insurance,Financials,Insurance,Life Insurance,#N/A
63,DOW AU Equity,DOWNER EDI LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Infrastructure Construction,Industrials,Engineering & Construction Svcs,Infrastructure Construction,#N/A
64,BEN AU Equity,BENDIGO AND ADELAIDE BANK,2019-06-30 00:00:00,AUD,2000,Banking,Banks,Financials,Banking,Banks,#N/A
65,ALU AU Equity,ALTIUM LTD,2019-06-30 00:00:00,AUD,2000,Technology,Other Miscellaneous Hardware,Technology,Hardware,Other Hardware,Other Miscellaneous Hardware
66,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,2019-06-30 00:00:00,AUD,2005,Food & Leisure,Limited Service Restaurants,Consumer Discretionary,"Gaming, Lodging & Restaurants",Restaurants,Limited Service Restaurants
67,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,2019-06-30 00:00:00,AUD,2000,Travel,Travel Services,Consumer Discretionary,Recreation Facilities & Svcs,Leisure & Travel Services,Travel Services
68,ALQ AU Equity,ALS LTD,2019-03-31 00:00:00,AUD,2000,Commercial Services,Testing Laboratories,Consumer Discretionary,Commercial Services,Other Commercial Services,Testing Laboratories
69,IEL AU Equity,IDP EDUCATION LTD,2019-06-30 00:00:00,AUD,2016,Consumer Services,Educational Services,Consumer Discretionary,Consumer Services,Educational Services,#N/A
70,JBH AU Equity,JB HI-FI LTD,2019-06-30 00:00:00,AUD,2004,Discretionary Retail,Consumer Elec & Applc Stores,Consumer Discretionary,Retail - Discretionary,Consumer Elec & Applc Stores,#N/A
71,SGR AU Equity,STAR ENTERTAINMENT GRP LTD/T,2019-06-30 00:00:00,AUD,2011,Casinos & Gaming,Casinos,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,Casinos
72,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,2019-06-30 00:00:00,AUD,2005,Industrials,Solid Waste Collection & Treat,Industrials,Waste & Environ Svcs & Equip,Waste Management,Solid Waste Collection & Treat
73,CAR AU Equity,CARSALES.COM LTD,2019-06-30 00:00:00,AUD,2010,Internet Based Services,Adv Rev - Automotive Web,Communications,Media,Internet Based Services,Automotive Web
74,ILU AU Equity,ILUKA RESOURCES LTD,2019-12-31 00:00:00,AUD,2000,Base Metals,Other Metals,Materials,Metals & Mining,Base Metals,Other Metals
75,ORA AU Equity,ORORA LTD,2019-06-30 00:00:00,AUD,2014,Industrials,Paper Containers & Packaging,Materials,Containers & Packaging,Containers & Packaging,Paper Containers & Packaging
76,YAL AU Equity,YANCOAL AUSTRALIA LTD,2019-12-31 00:00:00,AUD,2012,Energy,Coal Mining,Energy,"Oil, Gas & Coal",Coal Operations,Coal Mining
77,ANN AU Equity,ANSELL LTD,2019-06-30 00:00:00,AUD,2000,Industrials,Other Rubber Products,Industrials,Manufactured Goods,Rubber & Plastic,Rubber Products
78,VEA AU Equity,VIVA ENERGY GROUP LTD,2019-12-31 00:00:00,AUD,2018,Energy,Petroleum Retailers,Energy,"Oil, Gas & Coal",Refining & Marketing,Petroleum Marketing
79,IGO AU Equity,IGO LTD,2019-06-30 00:00:00,AUD,2002,Base Metals,Nickel Ore Mining,Materials,Metals & Mining,Base Metals,"Nickel, Lead & Zinc Ore"
80,SAR AU Equity,SARACEN MINERAL HOLDINGS LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
81,OZL AU Equity,OZ MINERALS LTD,2019-12-31 00:00:00,AUD,2009,Base Metals,Copper Mining,Materials,Metals & Mining,Base Metals,Copper
82,BOQ AU Equity,BANK OF QUEENSLAND LTD,2019-08-31 00:00:00,AUD,2000,Banking,Retail Banking,Financials,Banking,Banks,Retail Banking
83,RWC AU Equity,RELIANCE WORLDWIDE CORP LTD,2019-06-30 00:00:00,AUD,2016,Industrials,Fabricated Pipe & Pipe Fitting,Industrials,Manufactured Goods,Fabricated Metal & Hardware,Fabricated Pipe & Pipe Fitting
84,LNK AU Equity,LINK ADMINISTRATION HOLDINGS,2019-06-30 00:00:00,AUD,2016,Institutional Financial Services,Asset & Investment Servicing,Financials,Institutional Financial Svcs,"Instl Trust, Fiduciary & Custody",Asset & Investment Servicing
85,MIN AU Equity,MINERAL RESOURCES LTD,2019-06-30 00:00:00,AUD,2007,Mining Services,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
86,NEC AU Equity,NINE ENTERTAINMENT CO HOLDIN,2019-06-30 00:00:00,AUD,2014,Publishing & Broadcasting,Publishing & Broadcasting,Communications,Media,Publishing & Broadcasting,#N/A
87,SDF AU Equity,STEADFAST GROUP LTD,2019-06-30 00:00:00,AUD,2014,Insurance,Insurance Brokers,Financials,Insurance,Insurance Brokers,#N/A
88,PMV AU Equity,PREMIER INVESTMENTS LTD,2019-07-30 00:00:00,AUD,2009,Discretionary Retail,Specialty Apparel Stores,Consumer Discretionary,Retail - Discretionary,Specialty Apparel Stores,#N/A
89,NHF AU Equity,NIB HOLDINGS LTD,2019-06-30 00:00:00,AUD,2008,Insurance,Managed Care,Health Care,Health Care Facilities & Svcs,Managed Care,#N/A
90,BKW AU Equity,BRICKWORKS LTD,2019-07-31 00:00:00,AUD,2000,Industrials,"Brick, Tile & Clay Bldg Matl",Materials,Construction Materials,Non Wood Building Materials,"Brick, Tile & Clay Bldg Matl"
91,PDL AU Equity,PENDAL GROUP LTD,2019-09-30 00:00:00,AUD,2008,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
92,IFL AU Equity,IOOF HOLDINGS LTD,2019-06-30 00:00:00,AUD,2004,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
93,APX AU Equity,APPEN LTD,2019-12-31 00:00:00,AUD,2015,Technology,Technology Consulting,Technology,Technology Services,IT Services,IT Services - Commercial
94,WHC AU Equity,WHITEHAVEN COAL LTD,2019-06-30 00:00:00,AUD,2007,Energy,Coal Operations,Energy,"Oil, Gas & Coal",Coal Operations,#N/A
95,PTM AU Equity,PLATINUM ASSET MANAGEMENT,2019-06-30 00:00:00,AUD,2007,Asset Management,Investment Management,Financials,Asset Management,Investment Management,#N/A
96,TNE AU Equity,TECHNOLOGY ONE LTD,2019-09-30 00:00:00,AUD,2000,Technology,Enterprise Software,Technology,Software,Application Software,Enterprise Software
97,APE AU Equity,AP EAGERS LTD,2019-12-31 00:00:00,AUD,2000,Discretionary Retail,Automotive Retailers,Consumer Discretionary,Retail - Discretionary,Automotive Retailers,#N/A
98,MTS AU Equity,METCASH LTD,2019-04-30 00:00:00,AUD,2000,Supermarkets,Food Products Wholesalers,Consumer Staples,Distributors - Consumer Staples,Food Products Wholesalers,#N/A
99,PME AU Equity,PRO MEDICUS LTD,2019-06-30 00:00:00,AUD,2001,Technology,Health Care Software,Technology,Software,Application Software,Specialty Software
100,IRE AU Equity,IRESS LTD,2019-12-31 00:00:00,AUD,2000,Technology,Data & Analytics,Technology,Technology Services,Information Services,Financial Info Services
101,BRG AU Equity,BREVILLE GROUP LTD,2019-06-30 00:00:00,AUD,2000,Discretionary Products,Electric Housewares & Fans,Consumer Discretionary,Home & Office Products,Home Improvement,Household Appliances
102,NXT AU Equity,NEXTDC LTD,2019-06-30 00:00:00,AUD,2011,Telecommunications,Data Centers,Communications,Telecom,Telecom Carriers,Wireline Telecom Services
103,ABC AU Equity,ADELAIDE BRIGHTON LTD,2019-12-31 00:00:00,AUD,2000,Industrials,Cement,Materials,Construction Materials,Cement & Aggregates,Cement
104,CSR AU Equity,CSR LTD,2019-03-31 00:00:00,AUD,2000,Industrials,Non Wood Building Materials,Materials,Construction Materials,Non Wood Building Materials,#N/A
105,CTD AU Equity,CORPORATE TRAVEL MANAGEMENT,2019-06-30 00:00:00,AUD,2011,Travel,Retail Travel Agencies,Consumer Discretionary,Recreation Facilities & Svcs,Leisure & Travel Services,Travel Services
