Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,188.1162,186.6523,181.0367,187.9903,198.2599,201.7417,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,523.4,2596,2624.4,2624.4,2624.8,2624.8,2639.7,2640,2758,2792,2791,2881,2881,2866,2879,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,176.739,176.739,182.401,187.741,173.599,161.677,159.137,151.066,170.959,170.259,170.503,171.356,267.104,263.6,268.8,270.9,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.1,4.7,37.9,36.3,34.7,129.9,126.4,129.1,279.1,283.3,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,5.2515,4.8259,4.9096,4.8619,75.5764,76.5655,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,1.77,11.875,34.693,28.824,25.931,30.07,54.898,87.68,120.42,124.278,124.7,124.3,79.5,397.5,363.8,370.4,935,922.5,948.2,979.2,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,36.8,36.8,150.8,150.8,105.2,111.6,112,132.8,147,237,219,164,146,197,195,206,208,207,207,209,162,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,83.489,104.703,105.252,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.3,0.3,0.3,0,0,0,0,0,0,5.2,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,346.094,346.094,311.052,292.902,1280.579,31676,33846,3384.6,3190.6,3191.4,3191.4,1389.7,1389,1346,1348.4,1431.7,1431.8,1512.6,8249.6,8249.6,7160,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,1341.237,1484.9993,1362.6609,1484.154,1985.7944,1943.8573,1616.8749,1737.023,1862.4208,1845.7078,2024.725,2116.1515,2022.6309,2057.851,2521.7872,2695.3948,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,196.957,196.814,107.964,108,107.3,107.3,141.2,204.5,204.5,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,158.011,0,0,12.592,9.444,21.964,39.084,49.467,50.776,49.412,49.412,68.161,68.224,97.162,126.735,131.247,130.069,399.357,407.436,405.677,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,272.6,176.7,170.5,501.3,519.9,554.8,1004.9,1763.5,2573,2364.2,2206.4,2214.9,1757.2,1903.3,1901.2,1159.2,1031.3,1093.3,1050.3,1189.2,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
