Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,-6.281,-6.218,-5.96,-1.5396999999999998,2.4775,8.092,8.2219,15.0641,22.344,0.946,50.657,68.739,86.971,109.711,149.728,210.011,252.958,206.066,252.779,104.997,112.373,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.1193,-1104.4583,-2218.4161,1632.9611,1719.0482,544.1064,-96.9585,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.6,410.5,229,1596.1,356.1,558.7,114.9,375,570,218,-408,539,1582,905,1015,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,20.167,31.178,40.11,58.213,36.761,59.642,80.032,100.131,115.234,130.54,155.152,180.114,56.803,132.563,93.709,145.84,188.921,223.616,245.8,276.7,-238.3,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.1,89.9,47.2,-100.9,77.6,173.3,269.1,360.3,408.5,260.8,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9009,-3.7715,-5.5524000000000004,-6.7363,-5.8183,-6.1038,-11.3988,-31.3189,-64.4021,-75.9561,-65.0537,-23.019,-25.3499,3.1694,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,57.1365,23.3148,86.5204,131.9466,145.8391,262.7038,547.0215,163.9658,375.218,170.9745,202.1874,196.2311,169.8521,213.2459,392.0819,-52.4589,120.7917,394.2333,457.0069,449.5035,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,134.08,156.156,169.222,140.014,110.031,215.191,276.069,450.042,607.888,440.044,612,-408.8,450.1,508.7,676.5,520.4,580.3,702.1,778.5,-1039.9,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,517.3,415.4,428,343.5,648.4,688.5,479.5,672.6,969,117,112,250,-245,1,-2843,557,1029,852,953,840,-1964,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.516,6.203,-12.365,3.826,5.792,13.66,66.6,82.939,174.295,198.357,196.225,211.791,376.947,396.214,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,417,141,-36.8,360.9,440.9,446.9,253,604,72.4,-187.9,483,476.5,615.9,#N/A,,,,,,,
