Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,-115,-133,-141,-224,-497,-809,-1068,-1092.2516000000001,-904.16869999999994,-752.04,-450.1465,-241.52160000000001,-239.76609999999999,-478.20710000000003,-664.52570000000003,-700.79070000000002,-317.43849999999998,-660.39980000000003,-384.89249999999998,-215.82079999999999,-454.4119,#N/A,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,-26.012,-23.6342,-13.42,-25.2637,-20.8766,-31.3306,-41.029400000000003,-54.5349,-93.154499999999999,-189.60239999999999,-362,-230,0,0,0,-139.2859,-135.51060000000001,-183.2338,-229.71719999999999,-321.6481,-512.95010000000002,-709.20370000000003,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,0,0,0,0,0,-12.019399999999999,-61.643099999999997,0,-370.38229999999999,0,0,0,-58.720500000000001,0,0,0,-36.431800000000003,0,0,0,0,#N/A,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,-285.3,-287.60000000000002,-307.8,-433.2,-453.1,-500.7,-500.7,-500.7,-1106,-320.39999999999998,-873,-807,-798,-844,-844,-844,-844,-844,-844,-844,-844,-844,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.8130000000000002,-2.9369999999999998,-6.0170000000000003,-8.9619999999999997,-11.1,-13.2,-26.5,-41.6,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,0,0,0,0,0,0,0,0,-4.0330000000000004,-9.8109999999999999,-22.57,-48.076999999999998,-62.564,-84.953000000000003,-100.762,-112.616,-129.07,-154.10599999999999,-155.423,-150.392,-194.2,-216.7,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,-397.05590000000001,-769.25450000000001,-497.2713,-377.52870000000001,-232.31819999999999,-227.1173,-385.72230000000002,-414.61759999999998,-429.5009,-431.80829999999997,-281.73200000000003,-461.63319999999999,-454.28300000000002,-458.9237,-706.90239999999994,-376.32819999999998,-420.28820000000002,-473.69450000000001,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,-427,-758,-453,-245,-403,-511,-769,-1088,-1386,-1025,-831,-865,-1062,-897,-428,-905,-584,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,-21.948,-33.271999999999998,-42.311999999999998,-42.832000000000001,-49.095999999999997,-60.383000000000003,-77.852000000000004,-89.516000000000005,-107.089,-118.94799999999999,-136.48599999999999,-142.511,-144.911,-123.843,-120.093,-143.53800000000001,-161.1,-181.8,-193.7,-75.599999999999994,-194,-197.4,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,-35.281999999999996,-25.858000000000001,-34.167999999999999,-64.887,-110.657,-117.304,-156,-535,-374,-381,-377,-459,-471,-474,-410,0,0,-162,-475,-341,-313,-568,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-323.67380000000003,-913.72829999999999,-918.96640000000002,-366.95080000000002,-154.12299999999999,-910.07280000000003,-1497.2077999999999,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,-18.559799999999999,-35.529000000000003,-37.484000000000002,-56.920999999999999,-75.085999999999999,-99.270799999999994,-111.18729999999999,-125.9988,-138.64570000000001,-154.39410000000001,-157.0599,-150.4804,-145.6969,-160.56229999999999,-169.0351,-172.01410000000001,-193.7362,-217.4579,-237.4888,-229.07910000000001,-260.17880000000002,-317.8913,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,-14.842000000000001,-16.393000000000001,-26.529,-36.014000000000003,-60.05,-63.332999999999998,-70.34,-48.67,-310.5,-218.3,-255.3,,,,,,,
32,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,-147,-99,-282,-442,-647,-492,-537,-245,-301,-281,-250,-478,-823,-913,-948,-623,-803,-880,-693,-173,-468,-270,,,,,,,
33,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,-26.207999999999998,-62.322000000000003,-45.688000000000002,-89.881,-107.539,-127.054,-161.953,-148.268,-229.17400000000001,-229.17400000000001,-230.08199999999999,-199.583,-256.26900000000001,-277.017,-214.80500000000001,-275.77499999999998,-233.673,-365.11200000000002,-403.66699999999997,-415.51299999999998,-455.39699999999999,-480.35300000000001,,,,,,,
34,SCG AU Equity,SCENTRE GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,-1101.4000000000001,-943.9,-1096.9000000000001,-1120.8,-1142.5,-1165.0999999999999,-1187.0999999999999,-591,-725.8,-764.6,#N/A,,,,,,,
35,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,-31.45,-50.116999999999997,-41.725000000000001,-93.421999999999997,-161.69999999999999,-164.63200000000001,-101.45699999999999,-125.38500000000001,-411.911,-193.68600000000001,-188.78100000000001,-107.72799999999999,-112.51600000000001,-117.304,-122.092,-126.88,-131.667,-136.45500000000001,-141.24299999999999,-146.03100000000001,-234.56299999999999,-339.30900000000003,,,,,,,
36,REH AU Equity,REECE LTD,AUD,-12.35,-18.425999999999998,-22.41,-30.876000000000001,-39.840000000000003,-46.811999999999998,-54.78,-54.78,-52.787999999999997,-58.764000000000003,-60.756,-60.756,-62.747999999999998,-65.736000000000004,-78.683999999999997,-93.623999999999995,-100.596,-113.566,-113.566,-77.518000000000001,-125.96599999999999,-148.577,,,,,,,
37,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,-3.851,-14.997,-25.193999999999999,-25.545000000000002,-46.884,-75.299000000000007,-80.215999999999994,-109.946,-64.445999999999998,-42.124000000000002,-72.945999999999998,-102.009,-93.5,-96.1,-324.60000000000002,-324.3,-401.5,,,,,,,
38,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,-12.037000000000001,-16.687999999999999,-21.273,-24.795999999999999,-27.117000000000001,-62.168999999999997,-59.06,-66.388999999999996,-83.534000000000006,-110.747,-128.41999999999999,-143.35300000000001,-166.172,-197.78700000000001,-230.19399999999999,-265.47899999999998,-293.22000000000003,-308.84800000000001,-322.5,-115.3,-351.9,-218.7,,,,,,,
39,PLS AU Equity,PILBARA MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-329.78100000000001,,,,,,,
40,ASX AU Equity,ASX LTD,AUD,-36.534999999999997,-43.448,-76.311000000000007,-98.286000000000001,-110.029,-233.28800000000001,-324.904,-315.45,-281.02100000000002,-303.60000000000002,-325.2,-302.89999999999998,-329.9,-352.4,-375.6,-388.8,-400.6,-432.7,-696.5,-454.8,-440.6,-457.3,,,,,,,
41,APA AU Equity,APA GROUP,AUD,-51.625,-52.46,-52.95,-52.247999999999998,-61.677999999999997,-65.41,-53.552,-143.72900000000001,-159.92599999999999,-183.22300000000001,-208.245,-256.65600000000001,-300.86900000000003,-302.95999999999998,-440.15199999999999,-479.15199999999999,-490.29500000000002,-536.85199999999998,-572.24900000000002,-601.74599999999998,-613.54600000000005,-638,,,,,,,
