Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,1.9689999999999999,1.186,1.093,2.191,2.5808999999999997,7.7423,13.1919,9.8236,8.882,41.588,88.163,137.543,181.599,257.344,253.788,78.894,126.834,358.5,115.841,137.897,222.845,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,153.8625,835.4956,1644.9577,3483.9802,4016.7704,2008.2727,1908.5631,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.5,279.9,63.8,623.1,480.4,753.1,1812.9,281,456,259,252,154,463,115,141,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,23.201,31.025,10.539,43.891,75.946,106.077,87.073,83.382,36.687,80.016,42.808,72.423,68.486,52.689,56.127,72.208,75.417,89.54,61.5,78.6,930,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.8,28.6,10.8,52,122.1,256.1,240.8,89.4,401.8,449.1,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3366,8.1972,3.1239,16.5437,12.4804,30.8255,62.8748,13.9274,57.761,35.1882,25.4095,19.7254,116.5954,104.9997,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,62.632,78.907,108.7453,136.4597,268.7023,289.208,546.3453,391.8992,759.0861,1434.7037,1235.0591,1021.4169,470.2629,234.8617,1175.9535,1248.9424,1195.4385,1299.5981,852.7006,564.1116,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,348.029,500.133,588.363,408.266,737.733,635.21,809.85,831.372,686.563,665.793,1313.7,1414.7,2007.7,1720.7,1976.9,2002.5,1576.5,1813.8,2141.7,1750,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,688.8,259.2,785.2,2015.9,335.9,1903.8,2902,3362.9,2599,3617,3704,3496,3398,2829,3001,2908,1980,1775,1694,2157,3520,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,74.408,53.363,39.622,2.243,1.625,1.052,38.096,82.868,93.934,120.362,146.243,169.095,198.188,437.513,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.8,117.1,98.8,107.6,318,171,69.2,88.7,34.8,25.2,29.3,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,91.019,123.534,126.843,118.789,197.044,209.4,206.6,202.2,173.2,291.4,261.9,147.1,151.4,109.7,126.8,160,126,114.3,368.2,463,349,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,79.913,129.9784,131.9258,60.828,90.495,157.145,98.0749,102.1068,129.8307,223.4328,329.1024,324.2063,431.2565,498.1395,488.1356,720.3918,734.1869,646.5512,686.2686,809.7005,866.9274,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,613.713,895.059,707.992,408.7,438.7,594.6,470.1,656.5,871.4,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,41.711,0,17.969,36.318,14.196,28.484,55.599,14.019,31.703,22.356,18.377,1.818,209.929,199.922,53.122,263.764,244.857,44.521,6.142,35.015,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,87.2,122.4,146.4,87.6,148.9,214.7,1009.1,370.7,321.3,308.5,347.3,346.9,235.8,222.4,263.2,273.9,328,516.9,514.6,412.6,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,0.0234,0.003,4.579,3.0945,1.3446,2.5654,1.3369,0.1523,1.0952,16.574,64.962,55.775,82.387,167.443,315.341,403.06,442.997,266.179,677.26,#N/A,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2227.657,2362.964,515.498,196.395,183.699,149.353,205.511,177.78,340.984,449.663,1771.2,1844.6,1126,286.9,#N/A,,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,530.5,276,205.4,260.1,279.9,315,436.1,379.7,298.3,864.4,385.3,664.9,1178,1425.9,818.2,1237.5,1378.1,1038,937.4,856,#N/A,#N/A,,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,19.396,35.428,24.139,66.527,78.212,118.643,82.2,173.8,140.5,161.1,195.9,266.8,278.7,381.9,373.1,226.2,261.6,457,467,#N/A,,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,10.014,29.795,45.95,68.178,30.831,31.963,43.617,39.731,98.291,92.703,184.8,323,449.6,504.9,652,361.7,382.9,604.8,#N/A,,,,,,,
46,APT AU Equity,AFTERPAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19.7235,29.602,32.559,231.456,606.041,#N/A,,,,,,,
47,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,#N/A,#N/A,98.7,91,119.4,84.6,61.9,36.4,44.1,369.2,251.4,172.2,214.5,513.7,466.6,518.5,549.8,753,944.4,1644.5,1399.5,#N/A,,,,,,,
48,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.155,109.527,101.603,121.824,260.092,223.7,#N/A,,,,,,,
49,AWC AU Equity,ALUMINA LTD,AUD,161.5799,419.9804,419.9804,219.7554,150.5939,20.7197,214.3854,33.1927,94.7921,379.3718,109.569,18.5275,9.7274,26.8847,30.496,12.7572,11.9163,51.2033,260.9683,21.6401,#N/A,#N/A,,,,,,,
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,49.23,25.555,28.947,27.566,5.862,130.444,90.616,2606.695,1235.911,1374.853,455.205,71.145,127.749,542.108,128.3,290.7,366.8,172.5,104.6,78.1,119.8,#N/A,,,,,,,
51,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,
52,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,#N/A,#N/A,6.6495999999999995,1.4645000000000001,7.2001,5.0144,1.0757,2.7992,32.297,35.113,30.051,141.784,13.662,31.607,205.788,17.295,37.385,323.226,335.164,372.592,#N/A,,,,,,,
53,REH AU Equity,REECE LTD,AUD,36.47,34.885,43.678,45.072,45.71,45.976,53.665,23.648,38.505,54.546,122.631,134.186,166.758,156.232,73.762,85.021,105.123,101.805,539.891,127.707,1004.708,#N/A,,,,,,,
54,AST AU Equity,AUSNET SERVICES,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.708,9.098,12.013,7.2,545.1,49.9,19.1,541,409.8,883.1,441.4,328.8,658.2,339.4,155.3,#N/A,,,,,,,
55,TPM AU Equity,TPG TELECOM LTD,AUD,#N/A,13.523,8.575,10.96,84.107,19.002,19.161,80.654,14.053,17.179,17.112,9.525,13.767,26.128,23.8,23.7,39.2,46.3,82.2,51.4,#N/A,#N/A,,,,,,,
56,BPT AU Equity,BEACH ENERGY LTD,AUD,11.58,8.665,4.817,8.874,35.189,34.625,25.448,74.72,376.485,136.209,169.94,173.328,378.505,347.601,411.307,170.2,199.1,348,311.2,171.9,109.9,#N/A,,,,,,,
57,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23.166,78.86,118.565,57.729,111.671,88.233,76.6,190.8,103.9,139.9,224.2,#N/A,,,,,,,
58,BLD AU Equity,BORAL LTD,AUD,46.5,34.7,43.4,65.2,48.7,42.1,76.2,35.7,47.4,100.5,157,561.2,205.7,149.9,383.2,505.8,452.1,237.8,74.3,207.2,904.4,#N/A,,,,,,,
59,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,38.383,62.204,62.204,38.503,128.419,695.773,77.986,173.272,34.337,228.53,109.821,79.783,78.173,28.078,64.933,59.424,126.709,301.275,337.933,125.445,293.231,#N/A,,,,,,,
60,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,#N/A,#N/A,21.269,83.846,3.351,161.7,218.3,479.7,125.2,48.7,379.7,154.1,270.6,70.5,606.3,427.1,627.9,588.5,576.4,#N/A,#N/A,,,,,,,
61,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,39.436,23.024,30.264,26.969,88.642,149.396,122.776,165.875,64.66,157.907,157.236,162.779,172.459,161.66,144.957,185.84,139.874,80.224,170.544,215.048,313.195,#N/A,,,,,,,
62,CGF AU Equity,CHALLENGER LTD,AUD,#N/A,#N/A,#N/A,#N/A,626.388,490.7,1587.8,1821,1760.1,1808.7,1132.5,1175,1159.6,1309.3,608,593.6,673.8,637.1,839,791.9,661.9,#N/A,,,,,,,
63,DOW AU Equity,DOWNER EDI LTD,AUD,33.487,63.953,106.298,206.746,148.264,165.972,167.895,242.746,245.79,299.463,385.126,288.575,296.691,479.878,431.8,372.2,569.4,844.6,586.2,710.7,588.5,#N/A,,,,,,,
64,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,91.251,187.727,147.236,107.221,157.5,253.1,270.8,145.1,1195.9,912.6,760.5,469,288.8,383.8,716.1,981.6,1060,1059.6,1137.4,1072,1189.6,#N/A,,,,,,,
65,ALU AU Equity,ALTIUM LTD,AUD,50.9269,15.76,6.542,7.267,3.5709999999999997,3.59,6.352,10.653,5.8334,4.3666,5.7222,6.1905,12.9419,16.1781,23.3966,80.314,51.2139,57.6622,70.9481,114.8638,135.0987,#N/A,,,,,,,
66,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,#N/A,#N/A,1.7029999999999998,2.509,4.655,2.737,19.322,7.862,12.645,17.426,16.241,28.085,40.34,18.691,42.283,43.174,60.334,50.454,75.996,101.404,245.678,#N/A,,,,,,,
67,FLT AU Equity,FLIGHT CENTRE TRAVEL GROUP L,AUD,166.616,223.841,293.274,369.371,100.662,74.903,293.916,165.447,738.637,692.725,903.329,890.374,1032.467,1227.019,1261.682,1377.985,1315.984,1281.648,1272.992,1172.252,1867.307,#N/A,,,,,,,
68,ALQ AU Equity,ALS LTD,AUD,5.9399999999999995,5.241,10.087,6.858,7.217,14.641,35.629,43.21,46.552,60.26,57.937,87.123,133.4,115.9,138.9,163.1,297.9,249.3,187.6,148.3,424.4,#N/A,,,,,,,
69,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49.357,52.961,51.184,35.353,41.958,48.809,56.059,307.089,#N/A,,,,,,,
70,JBH AU Equity,JB HI-FI LTD,AUD,#N/A,#N/A,0.562,12.99,16.432,1.631,4.493,23.707,0,35.79,51.735,27.246,39.71,67.368,43.445,49.131,51.884,72.8,72,119.2,251.5,#N/A,,,,,,,
71,SGR AU Equity,STAR ENTERTAINMENT GRP LTD/T,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.8,108.2,342.6,265.5,144.9,196.6,159,113.7,110.3,114.3,66.1,#N/A,,,,,,,
72,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,#N/A,#N/A,12.392,17.813,37.754,55.336,222.459,58.126,70.115,140.954,88.726,77.9,76.2,190.1,37,48.3,43.2,52,56.2,79.8,#N/A,,,,,,,
73,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.6912,7.7945,15.729,13.605,32.84,40.935,15.14,26.042,26.823,28.709,39.795,65.061,94.411,179.937,#N/A,,,,,,,
74,ILU AU Equity,ILUKA RESOURCES LTD,AUD,32.9,28.2,21.3,5.2,13.6,18.2,17.4,19.9,97.6,86.3,30.1,320.7,54.3,46.4,101.3,55,101.3,53.6,51.3,97.3,#N/A,#N/A,,,,,,,
75,ORA AU Equity,ORORA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.9,30.5,67.3,66.1,58.5,87.6,70.3,107.3,#N/A,,,,,,,
76,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226.45,196.539,290.974,349.293,318.001,203.614,154.4,190.3,207,1031,962,#N/A,#N/A,,,,,,,
77,ANN AU Equity,ANSELL LTD,AUD,1759.411,310.9,258.5,286,307.8,218.9,311.4,231.2,196,268.2,231.5,239,245.8,329.3,340.1952,361.1832,366.1877,412.347,784.2846,562.9725,589.4049,#N/A,,,,,,,
78,VEA AU Equity,VIVA ENERGY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,188,426.3,164.7,108.6,127.2,#N/A,#N/A,,,,,,,
79,IGO AU Equity,IGO LTD,AUD,#N/A,#N/A,2.41,4.041,18.37,24.226,26.13,151.986,145.384,127.238,143.957,228.001,192.678,27.215,56.972,121.296,46.264,35.763,138.688,348.208,510.312,#N/A,,,,,,,
80,SAR AU Equity,SARACEN MINERAL HOLDINGS LTD,AUD,0.273,0.577,0.312,0.245,0.4127,2.4123,1.3447,3.6683,4.7214,27.5601,28.944,17.613,20.196,9.024,35.859,38.378,34.302,33.726,99.774,118.715,360.185,#N/A,,,,,,,
81,OZL AU Equity,OZ MINERALS LTD,AUD,2.667,0.802,14.748,34.919,10.265,167.849,670.851,246.1,69.8,1076.2,1334.2,886.1,659,364,218.5,552.5,655.7,729.4,505.1,134,#N/A,#N/A,,,,,,,
82,BOQ AU Equity,BANK OF QUEENSLAND LTD,AUD,106.658,97.769,158.978,327.1,299,571.6,261.8,479.1,399.5,628.9,606.2,543.5,959.6,1049.2,1034,1103,1228,914,1212,1274,1353,#N/A,,,,,,,
83,RWC AU Equity,RELIANCE WORLDWIDE CORP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.5898,23.828,26.9664,35.648,34.996,274.331,69.279,82.166,#N/A,,,,,,,
84,LNK AU Equity,LINK ADMINISTRATION HOLDINGS,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.081,27.706,31.835,30.153,18.162,265.512,560.176,264.092,#N/A,,,,,,,
85,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2343,19.461,49.577,54.88,174.47,180.456,76.282,57.832,206.454,209.814,407.293,378.169,240.406,265.399,1521.8,#N/A,,,,,,,
86,NEC AU Equity,NINE ENTERTAINMENT CO HOLDIN,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,392.45,219.767,50.855,42.86,66.7,36.375,256.121,187.394,#N/A,,,,,,,
87,SDF AU Equity,STEADFAST GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.99,11.478,115.23,239.803,292.209,329.735,387.602,543.969,659.599,#N/A,,,,,,,
88,PMV AU Equity,PREMIER INVESTMENTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,328.67,316.644,307.808,294.168,313.157,313.308,281.572,283.233,170.631,178.618,190.255,448.832,#N/A,,,,,,,
89,NHF AU Equity,NIB HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.368,17.57,179.185,167.143,197.415,240.772,86.673,143.056,148.722,123.655,89.428,119,192.2,164.7,198,#N/A,,,,,,,
90,BKW AU Equity,BRICKWORKS LTD,AUD,37.71,15.084,11.775,39.924,6.426,15.042,15.542,14.382,37.808,17.916,73.353,50.617,14.553,19.117,21.208,23.051,30.783,19.641,21.167,74.881,187.109,#N/A,,,,,,,
91,PDL AU Equity,PENDAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.2546,49.929,54.787,283.703,53.492,83.649,130.151,166.752,174.231,194.199,168.134,149.044,#N/A,#N/A,,,,,,,
92,IFL AU Equity,IOOF HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,24.356,62.124,914.339,502.385,509.28,583.444,586.699,132.78,152.999,113.344,98.252,109.505,150.533,186.992,208.218,125.619,97.442,374.73,#N/A,,,,,,,
93,APX AU Equity,APPEN LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.771,8.649000000000001,12.725,16.471,24.015,40.045,75.274,#N/A,#N/A,,,,,,,
94,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.756,21.185,80.867,131.159,141.049,207.602,513.625,110.516,103.167,102.393,101.453,87.138,111.777,119.535,106.76,#N/A,,,,,,,
95,PTM AU Equity,PLATINUM ASSET MANAGEMENT,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,457.385,73.072,171.16,14.269,29.758,232.761,11.879,24.052,24.854,127.679,119.079,154.263,163.799,112.947,105.333,#N/A,,,,,,,
96,TNE AU Equity,TECHNOLOGY ONE LTD,AUD,14.271,25.343,23.244,17.287,22.853,23.623,19.336,25.878,18.422,25.586,32.652,43.431,49.03,65.397,80.209,75.536,82.588,93.383,104.322,105.046,#N/A,#N/A,,,,,,,
97,APE AU Equity,AP EAGERS LTD,AUD,0.021,0.064,1.524,0.055,0.058,4.494,54.864,0.965,0.046,18.898,0.154,13.279,8.716,12.106,23.777,37.535,17.615,10.827,18.868,94.172,#N/A,#N/A,,,,,,,
98,MTS AU Equity,METCASH LTD,AUD,54.428,17.567,83.456,83.048,33.651,189.607,220.199,141.873,180.5,148.6,210.6,152.9,51.5,50.3,24.7,83.3,26.4,96.5,161.2,142.6,275.1,#N/A,,,,,,,
99,PME AU Equity,PRO MEDICUS LTD,AUD,3.46,1.392,1.9409999999999998,9.579,10.479,10.406,11.441,11.135,12.885,5.561,3.785,3.255,5.193,18.023,15.259,12.935,17.107,22.775,25.238,32.315,43.413,#N/A,,,,,,,
100,IRE AU Equity,IRESS LTD,AUD,9.529,16.323,20.492,22.869,27.329,38.243,22.9,20.001,45.678,73.225,99.063,48.925,55.967,71.405,74.914,39.233,22.951,28.615,30.19,33.386,#N/A,#N/A,,,,,,,
101,BRG AU Equity,BREVILLE GROUP LTD,AUD,6.866,9.072,22.086,11.322,7.203,4.944,13.897,22.657,10.262,6.29,13.565,27.768,53.095,68.13,70.885,54.634,59.978,77.124,103.316,57.129,128.457,#N/A,,,,,,,
102,NXT AU Equity,NEXTDC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.0978,68.098,38.883,16.838,52.881,191.393,271.838,417.982,398.999,892.939,#N/A,,,,,,,
