Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.3,3.8,4.2,2.6,2.6,3.4,4.2,4.3,4.1,4.1,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,24.31,0.119,5.287,14.332,11.648,1.288,0.368,4.126,0.223,-0.739,3.4,83.2,72.4,25.9,27.9,22.5,-9.8,-21.8,-44.4,-34,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,1.6,10.6,11.5,14.3,14.7,4.2,4.9,4.9,4,44,42,4,4,5,4,5,5,3,3,3,3,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,0,0,0,0,0,0,4.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,9.7624,6.9190000000000005,11.8122,5.872,8.497,6.165,9.2267,11.1528,11.7839,9.4229,13.7109,14.0327,12.509,12.1599,13.7564,17.3768,18.1482,25.9286,35.5802,3.1308,2.3614,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,9.533,7.7780000000000005,7.724,8.36,10.283,9.664,10.685,11.154,10.073,10.751,11.777,12.07,11.894,9.223,11.962,12.276,12.816,13.483,13.057,13.513,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,132.4,119.5,121.1,195.6,209.3,191.6,51.6,60.9,96.9,112.1,109.9,121.3,125,138.9,136.1,2.6,0.7,1.2,64.8,57.2,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,84.26,89.852,24.8,0,0,0,#N/A,,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,21.8,22.9,15.3,13.1,6.7,0,0,0,0,0,0,0,5.2,6.2,7,323.7,346.1,331.4,355.1,390.4,#N/A,#N/A,,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,1.009,0.825,1.625,3.6390000000000002,1.476,2.09,3,6.5,8.9,15.3,22.5,34,3.3,0.6,-4,-5.4,-11.2,35,59,#N/A,,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,123.543,371.625,519.6,566.2,666.6,469.4,559.2,297,295.2,301,#N/A,,,,,,,
46,APT AU Equity,AFTERPAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,2.957,2.678,#N/A,,,,,,,
47,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,#N/A,#N/A,37.1,38.8,53.3,43.2,50.9,67.3,74.7,83.8,94.4,87.3,99.5,407.4,395.2,463.5,488.1,468.3,493.8,477.4,496.5,#N/A,,,,,,,
48,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1.6360000000000001,0.419,0,0,#N/A,,,,,,,
49,AWC AU Equity,ALUMINA LTD,AUD,24.237,17.6298,17.6298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,9.850999999999999,2.8209999999999997,72.4,2.944,0,0,0,0,7.001,2.723,139.748,148.59,11.318,12.363,11.9,12.8,11.8,12,11.3,12.3,14.2,#N/A,,,,,,,
