Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,-5.96,-1.5397,2.4775,5.6196,10.584,18.4573,40.208,47.301,71.963,97.286,118.45,154.508,213.197,286.526,343.369,150.687,377.697,244.954,233.694,468.36,547.9,512.9,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,792.2383,918.1384,985.0399,812.3122,698.5449,691.1869,763.4916,756.4458,889.6183,997.3775,1143.4115,892.3582,871.5265,912.5322,1023.5839,1057.418,1133.0406,1388.9687,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,1543,666,407,1118,702,963,766,1175,1662,1507,1608,1409,1525,951,1509,837,1642,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,51.03,80.01,47.252,82.307,108.835,143.481,156.717,176.268,209.351,235.137,72.157,-53.863,117.114,196.303,254.266,308.825,340.5,365.6,-271.1,361.8,393.8,396.6,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,187.88,246.551,283.828,508.574,623.228,608.339,857,7670,876,395,1360,503,451,-534,-279,-2075,202,1278,179,-1966,-874,1478,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-80.6268,-478.3182,-2122.2618,2154.2882,2089.4437,1123.1811,513.1345,56.2884,5092.2709,316.6884,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,160.1098,29.462,110.657,145.613,242.3915,411.9995,436.7715,489.4545,466.5323,373.5968,219.7832,187.68,354.7883,292.244,336.5523,485.41,503.1907,739.0224,483.8425,362.031,426.6904,918.3831,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,-0.0014,-0.102,-0.2075,-0.2653,-0.693,-1.5348,-0.0866,-4.6646,-1.2808,20.016,31.444,36.777,33.5,157.117,237.692,268.504,277.772,214.784,344.632,1583.9,642,844.8,,,,,,,
32,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,-101,297,1152,1285,1235,908,-136,312,402,614,763,1593,1802,949,920,1343,1410,1332,535,-389,564,1354,,,,,,,
33,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,65.785,78.407,103.105,209.807,263.775,290.456,331.867,249.608,386.606,390.403,417.928,443.24,514.966,463.315,597.645,575.743,616.981,722.257,699.063,1828.593,2077.205,931.188,,,,,,,
34,SCG AU Equity,SCENTRE GROUP,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2320.9,2572.4,1030,1582.2,2759.2,3051.1,4287.1,2342.2,1244.5,-3746.5,937.2,346.2,#N/A,,,,,,,
35,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,114.071,127.598,230.897,213.378,140.68,185.858,148.892,2650.482,377.908,796.041,223.398,193.863,184.979,58.603,130.361,511.339,513.621,474.466,1123.183,347.434,1257.073,716.197,,,,,,,
36,REH AU Equity,REECE LTD,AUD,61.456,67.685,89.129,108.513,124.583,149.13,163.178,140.303,161.805,171.04,163.007,171.605,178.493,238.306,279.929,303.047,319.441,297.024,312.505,380.283,509.401,567.839,,,,,,,
37,MIN AU Equity,MINERAL RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.0007,25.587,67.015,54.18,81.659,208.915,224.2,250.522,327.152,107.825,-47.458,288.446,390.229,235.9,1436.2,1792.7,489.1,360.4,,,,,,,
38,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,43.555,53.545,56.67,51.584,118.131,157.126,141.279,154.27,220.757,294.121,336.578,386.654,447.325,640.302,708.936,749.665,607.928,846.83,466.2,741.6,538.5,527.1,,,,,,,
39,PLS AU Equity,PILBARA MINERALS LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.6824,-1.5224,-1.9072,-0.2375,-0.9766,-0.9444,-2.0805,-1.1562,-3.1873,-6.672,-55.418,-25.954,-19.415,-28.932,-99.262,-51.448,725.019,3371.566,,,,,,,
40,ASX AU Equity,ASX LTD,AUD,82.68,80.581,116.573,204.047,190.479,413.434,519.233,444.698,466.15,500.1,482.4,494.3,541.6,566.2,606.1,616.4,642.1,705.1,720.8,687.9,730.3,447.2,,,,,,,
41,APA AU Equity,APA GROUP,AUD,59.097,65.128,46.279,56.512,82.394,79.332,90.205,114.732,139.18,144.687,181.09,342.251,266.022,737.128,301.995,386.334,429.894,464.979,497.366,62.364,440.09,477,,,,,,,
42,CAR AU Equity,CARSALES.COM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,17.1629,26.7281,40.932,62.053,82.108,99.207,118.68,135.621,149.506,161.526,161.275,237.483,181.988,172.04,186.535,223.47,699.694,,,,,,,
43,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,100.982,78.638,125.401,117.4,174.126,1669.117,167.512,168.092,724.469,32.391,132.825,622.932,310.7,-650.1,190.7,43.3,468.7,309,231.1,762.7,571.8,866.2,,,,,,,
44,TLC AU Equity,LOTTERY CORP LTD/THE,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,537,526.3,386.5,,,,,,,
45,TPG AU Equity,TPG TELECOM LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,563.1,-280,-86,163,559,559,559,559,559,559,,,,,,,
46,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,197.281,315.049,216.878,396.6,546.3,628.7,628.3,616.3,450.2,632.3,560,727.1,,,,,,,
47,EDV AU Equity,ENDEAVOUR GROUP LTD/AUSTRALI,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,671,647,-51,652,719,773,#N/A,#N/A,#N/A,#N/A,,,,,,,
48,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.6,140.5,50.9,-241,110.9,249.2,387.2,475.5,575.6,348.7,357.7,372.9,337,,,,,,,
49,WOR AU Equity,WORLEY LTD,AUD,14.984,32.394,40.736,98.548,196.885,306.205,488.3,561.7,393.3,498.4,493.8,473.6,368.6,31.7,68.9,60.8,205.4,245,267,142,294,146,,,,,,,
50,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,-17.3,593.6,803.4,1316.3,468.6,947.3,940.8,-127.3,130.3,-1150,-976.1,-55.8,88.1,222.3,719.5,943.5,1384.9,1307.7,256.3,1685.6,3786.7,1444.4,,,,,,,
51,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,631,502.3,964.6,914.3,671.2,965.1,1408,181,178,323,-349,11,-3976,789,1424,1181,1352,1192,-2708,-2299,-1191,2472,,,,,,,
52,SGP AU Equity,STOCKLAND,AUD,267.688,89.601,618.541,816.9,1122.8,1816.8,734.8,-1958.2,499.6,801.5,457.1,33,534,897,919,1201,966,358,24,1090,1487,515,,,,,,,
53,PME AU Equity,PRO MEDICUS LTD,AUD,6.242,6.437,6.228,7.699,8.611,9.741,11.325,7.275,5.702,-1.006,1.019,-4.902,2.452,5.112,9.497,13.412,15.301,26.123,30.02,42.872,63.079,86.126,,,,,,,
54,VCX AU Equity,VICINITY CENTRES,AUD,#N/A,#N/A,#N/A,#N/A,232.094,282.393,-904.676,-2707.967,122.03,254.01,-220.658,210.416,400.3,680.1,960.9,1583.6,1218.7,346.1,-1788.9,-247.1,1207.6,266.1,,,,,,,
55,ALX AU Equity,ATLAS ARTERIA,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-243.642,-307.763,-58.009,41.904,-50.556,85.087,232.882,502.834,60.75,-19.026,-106.899,127.93,244.202,#N/A,,,,,,,
56,ALD AU Equity,AMPOL LTD,AUD,301.145,279.803,579.705,788.034,661.865,928.455,46.607,447.676,442.295,-1021.767,86.864,735.541,30.334,739.646,863.763,863.446,780.9,521.732,-725.6,734.4,936.5,#N/A,,,,,,,
57,SEK AU Equity,SEEK LTD,AUD,#N/A,5.821,14.553,29.28,48.869,79.538,106.561,80.179,119.182,133.009,184.481,359.8,251.8,383.9,556.8,437.3,173.3,284.2,-102.4,138.3,341.9,295.8,,,,,,,
58,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,73.1,464.8,242,1011.3,377.6,793.6,162.9,445,760,337,-474,764,2244,1279,1414,-2657,1182,-1839,,,,,,,
59,IGO AU Equity,IGO LTD,AUD,-1.489,1.383,24.792,31.109,50.384,151.115,74.199,25.054,40.413,14.285,-368.84,27.827,70.698,109.961,-59.212,26.417,79.066,105.448,121.23,156.587,463.5,680.3,,,,,,,
60,MGR AU Equity,MIRVAC GROUP,AUD,203.148,263.522,296.253,265.435,488.229,598.129,152.529,-1144.5,229.6,63.6,316.4,114.8,460.7,628,1075,1104,1166,1071,583,934,985,-182,,,,,,,
61,DXS AU Equity,DEXUS/AU,AUD,#N/A,#N/A,#N/A,493.509,1095.508,1243.264,453.163,-1575.652,1.607,576.433,307.5,523.2,419.1,644,1303.2,1305,1765.2,1323.8,1009.2,1179.7,1631.1,-741.5,,,,,,,
62,GPT AU Equity,GPT GROUP,AUD,386.1,420.2,-1194.6,566.4,1385.2,1191,-1654.1,141.8,433.1,302.4,573.5,567.6,628.3,859.2,1166.6,1277.5,1444.8,891.8,-204.2,1421.8,473.2,#N/A,,,,,,,
63,EBO NZ Equity,EBOS GROUP LTD,AUD,7.0177,8.5809,10.8932,13.5633,15.3017,13.0437,19.3405,21.8309,24.7208,24.987,28.1379,33.8029,113.7883,140.2183,165.8333,179.1389,197.282,193.015,230.057,263.019,295.253,373.431,,,,,,,
64,ORI AU Equity,ORICA LTD,AUD,302.4,172.9,434.4,293.4,166.9,667.8,770.8,702.1,814,904.8,527.2,817.9,747.7,-1281.8,553.3,563.4,121.5,359.1,144.7,-153.2,274.5,#N/A,,,,,,,
65,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,-0.5676,-1.0111,-0.9406,-12.6226,-9.8387,-2.2917,-6.84,-4.52,3.955,66.483,-320.795,50.017,100.115,-21.506,237.284,338.934,314.826,408.59,496.172,417.748,233.802,,,,,,,
66,YAL AU Equity,YANCOAL AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.03,541.745,437.468,125.538,-1114.472,-270.896,-353.8,-311.8,311,1172,767,-1143,1103,5091,#N/A,,,,,,,
67,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,141,-297.1,83.8,554.3,582.3,353,835,192.9,-54.2,801.3,681.9,865.9,766,736.1,483,,,,,,,
68,WHC AU Equity,WHITEHAVEN COAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,15.432,5.394,74.029,349.851,171.247,8.825,13.902,-124.425,-56.334,-483.317,27.674,475.426,758.889,735.868,42.33,-768.195,2765.893,3801.495,,,,,,,
69,AKE AU Equity,ALLKEM LTD,AUD,#N/A,#N/A,#N/A,#N/A,-0.1007,-0.1688,-0.4346,-1.5013,-4.2359,-1.8442,-2.9946,96.7928,-5.6798,-2.0071,-30.8936,7.6138,2.4779,78.7458,-114.8735,-28.8599,589.5755,1233.9059,,,,,,,
70,NXT AU Equity,NEXTDC LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-10.726,-3.487,-19.895,-10.254,1.756,12.827,10.891,-16.073,-18.608,-23.631,-1.658,-23.239,,,,,,,
71,IEL AU Equity,IDP EDUCATION LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.907,40.139,45.846,54.126,60.507,73.87,95.374,102.573,58.861,152.132,207.307,,,,,,,
72,SDF AU Equity,STEADFAST GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.9,7.379,-14.688,33.601,63.029,99.855,104.559,124.665,159.259,7.386,229.7,279.2,337.6,,,,,,,
73,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,-12.234,107.129,21.444,-0.59,285.7,836.5,-314.6,539.9,621.4,711.7,348.8,311.7,507.7,136.6,392.5,192.7,159.6,150.9,160.2,1358.8,#N/A,,,,,,,
74,ALU AU Equity,ALTIUM LTD,AUD,3.654,-2.59,-88.515,-3.968,1.163,1.58,-4.1141,-0.6705,-7.349,-6.3522,-3.5304,3.4046,18.6684,25.9434,33.8051,39.0956,51.2398,80.5837,76.0125,63.8766,93.5707,130.489,,,,,,,
75,ALQ AU Equity,ALS LTD,AUD,16.319,17.238,21.509,45.143,48.964,76.11,109.006,150.708,105.862,185.125,303.8,310.8,212.9,-120.2,-190.6,146.1,115.4,230.3,151.1,244.3,280,390.7,,,,,,,
76,CWY AU Equity,CLEANAWAY WASTE MANAGEMENT L,AUD,#N/A,2.214,14.328,43.572,67.212,148.113,239.865,-237.775,92.036,-271.869,8.7,-259.8,-285.5,-31,61.6,109,117.8,166,155.2,206.8,116.3,33.3,,,,,,,
77,BLD AU Equity,BORAL LTD,AUD,280,409.9,534,519,493.3,420.4,304.2,108.7,-35.8,186,181.3,-378,94.5,288.5,281.1,294.7,458.1,268.1,-30.1,17.1,-41,217.6,,,,,,,
78,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,64.399,89.283,115.3,135.5,165.7,177.9,286.3,119.3,350.7,424.5,326.1,487.6,536.5,589.5,606.9,628.3,634.5,552,286.1,753.7,701.4,724.8,,,,,,,
79,JBH AU Equity,JB HI-FI LTD,AUD,8.818,12.309,19.705,29.504,38.8,59.379,93.96,135.493,169.601,158.581,148.373,168.052,182.677,195.532,217.839,259.2,334.5,359.3,448,720,775.3,747.1,,,,,,,
80,NHC AU Equity,NEW HOPE CORP LTD,AUD,60.115,60.738,30.955,71.876,94.688,92.576,128.729,2772.114,244.583,719.097,198.819,121.984,71.047,-24.709,-74.112,202.213,267.613,307.77,-225.551,110.72,1400.638,1544.984,,,,,,,
81,TNE AU Equity,TECHNOLOGY ONE LTD,AUD,12.844,10.121,13.11,14.429,16.257,19.772,23.129,20.276,23.282,26.675,30.325,35.097,40.235,46.494,53.24,58.019,24.817,76.389,82.47,97.843,112.32,#N/A,,,,,,,
82,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.913,71.351,-1.795,109.931,126.666,127.502,128.1,104.7,286.8,284,125.4,-71.1,228.5,242.1,,,,,,,
83,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,189.41,233.289,269.312,298.341,319.907,473.47,522,348.247,386.462,373.935,227.409,187.946,301.061,378.1,493.763,639.806,530.172,574.559,661.288,1182.529,1140.443,776.082,,,,,,,
84,DMP AU Equity,DOMINO'S PIZZA ENTERPRISES L,AUD,3.399,6.55,6.919,9.317,17.182,12.346,17.018,20.263,23.722,29.668,37.644,40.765,66.56,97.84,125.819,150.68,174.476,159.413,203.436,273.609,252.599,100.638,,,,,,,
85,VEA AU Equity,VIVA ENERGY GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,239.9,1699.5,451.2,307.7,158.2,-186.5,343.4,731.8,#N/A,,,,,,,
86,LLC AU Equity,LENDLEASE GROUP,AUD,397.4,261.1,454.4,350.2,572.7,628,310.3,-733.1,450.8,631.5,522.5,571.3,998.6,768,862.8,1007,1066,755,-536,274,-177,-238,,,,,,,
